,Excitatory,Microglia,OD,Inhibitory,Endothelial,Astrocyte
-2391.755065_1348.5431295,0.4853614,0.12734446,0.2647154,0.026253644,0.04921601,0.047109127
-2391.755065_148.5431295,0.35126504,0.20095576,0.34261993,0.007351531,0.07920915,0.01859862
-2391.755065_248.5431295,0.27296594,0.09208309,0.44985172,0.002090208,0.17755018,0.00545889
-2391.755065_348.5431295,0.5371775,0.013570782,0.4113689,0.013698908,0.009729421,0.014454483
-2391.755065_448.5431295,0.3538335,0.006723459,0.50996834,0.003699031,0.070735715,0.055039965
-2391.755065_48.5431295,0.5715398,0.012151103,0.39248124,0.009669007,0.010507265,0.003651543
-2391.755065_548.5431295,0.5323774,0.088946894,0.19886161,0.003397915,0.14987223,0.026543885
-2391.755065_648.5431295,0.5564972,0.05763785,0.25062728,0.011905171,0.08851129,0.034821153
-2391.755065_748.5431295,0.40825096,0.018813904,0.49624044,0.009807707,0.033999376,0.032887585
-2391.755065_848.5431295,0.14284101,0.12531823,0.30041462,0.002547635,0.3985094,0.03036907
-2391.755065_948.5431295,0.5938694,0.1066263,0.14751221,0.027040444,0.10953896,0.015412734
-2491.755065_-151.4568705,0.3884316,0.105047725,0.4449846,0.02109988,0.039697114,0.000738977
-2491.755065_-51.4568705,0.58262336,0.003986371,0.38387436,0.020494256,0.004847857,0.00417384
-2491.755065_1048.5431295,0.40662497,0.13411413,0.3147461,0.014023815,0.12049862,0.009992359
-2491.755065_1148.5431295,0.4462762,0.06797321,0.17270784,0.008248407,0.2506514,0.054142978
-2491.755065_1248.5431295,0.16811225,0.002836576,0.6751028,0.014786303,0.1344415,0.004720612
-2491.755065_1348.5431295,0.02342722,0.009275966,0.82013893,0.008310363,0.12224076,0.016606798
-2491.755065_148.5431295,0.41297263,0.070928775,0.3132957,0.004280326,0.17724682,0.021275776
-2491.755065_248.5431295,0.36194968,0.18415846,0.19799557,0.000588537,0.24145862,0.013849111
-2491.755065_348.5431295,0.2853794,0.015255525,0.5687818,0.00976979,0.106986865,0.013826618
-2491.755065_448.5431295,0.52609056,0.002255853,0.4514329,0.002732449,0.002342077,0.015146134
-2491.755065_48.5431295,0.4410843,0.016297167,0.14620867,0.010610714,0.34793702,0.037862163
-2491.755065_548.5431295,0.60298437,0.014754136,0.28941032,0.01707133,0.012627048,0.06315273
-2491.755065_648.5431295,0.5567069,0.05046852,0.22507533,0.019548368,0.12821661,0.019984327
-2491.755065_748.5431295,0.2661434,0.011789911,0.6258755,0.048803087,0.010191701,0.037196424
-2491.755065_848.5431295,0.40488338,0.042423703,0.46632177,0.042528454,0.012366151,0.031476606
-2491.755065_948.5431295,0.38912165,0.08728802,0.26682046,0.030297106,0.22200996,0.004462859
-2591.755065_-151.4568705,0.31067657,0.011808581,0.6315361,0.011155395,0.024366401,0.010456886
-2591.755065_-51.4568705,0.2676036,0.053678624,0.48093605,0.009487028,0.16776249,0.02053226
-2591.755065_1048.5431295,0.39046884,0.011016411,0.53832775,0.025769386,0.019301042,0.015116562
-2591.755065_1148.5431295,0.128794,0.07714632,0.56369454,0.004156316,0.19900852,0.027200306
-2591.755065_1248.5431295,0.07568654,0.0014652,0.86059487,0.005503879,0.046709444,0.010040008
-2591.755065_1348.5431295,0.07753753,0.000226965,0.8362033,0.01826913,0.020930536,0.046832584
-2591.755065_148.5431295,0.3973716,0.024375161,0.4319197,0.001533072,0.1208766,0.023923887
-2591.755065_248.5431295,0.6008759,0.033858277,0.26064295,0.002828607,0.095891364,0.005902871
-2591.755065_348.5431295,0.58547544,0.002481434,0.37541768,0.005883982,0.004816991,0.025924373
-2591.755065_448.5431295,0.20746572,0.06617504,0.090533555,0.00981932,0.5084871,0.1175193
-2591.755065_48.5431295,0.20152065,0.003362082,0.59014875,0.016378887,0.07721291,0.11137673
-2591.755065_548.5431295,0.4487098,0.11818236,0.3111747,0.013630912,0.08987849,0.018423738
-2591.755065_648.5431295,0.2865148,0.20965998,0.3109058,0.026776914,0.15734234,0.008800179
-2591.755065_748.5431295,0.5246115,0.11206576,0.21668485,0.030684603,0.03428211,0.08167122
-2591.755065_848.5431295,0.6407283,0.009635611,0.2991389,0.008880788,0.011316755,0.0302997
-2591.755065_948.5431295,0.29758552,0.109735124,0.121760465,0.02110871,0.41444996,0.035360273
-2691.755065_-151.4568705,0.12753947,0.012315687,0.73638165,0.01243184,0.03596229,0.075369075
-2691.755065_-51.4568705,0.52050894,0.01940253,0.41040215,0.010927734,0.011012451,0.02774613
-2691.755065_1048.5431295,0.4423142,0.010433525,0.48219076,0.01212761,0.02012103,0.032812834
-2691.755065_1148.5431295,0.12446572,0.00860546,0.28873482,0.00408187,0.18666066,0.38745153
-2691.755065_1248.5431295,0.1512701,0.003246892,0.6712518,0.001924322,0.10104367,0.07126322
-2691.755065_1348.5431295,0.052871995,0.0014051,0.71735424,0.02385237,0.09369064,0.11082567
-2691.755065_148.5431295,0.4633799,0.10525397,0.41700175,0.002841001,0.008823546,0.002699767
-2691.755065_248.5431295,0.40223294,0.002017613,0.570606,0.005579636,0.010139869,0.009424012
-2691.755065_348.5431295,0.6314768,0.056999575,0.27643383,0.003712864,0.019909743,0.011467181
-2691.755065_448.5431295,0.44235957,0.10895601,0.14425224,0.002360405,0.254211,0.04786077
-2691.755065_48.5431295,0.66746676,0.07166178,0.1528646,0.003893529,0.08304734,0.021066017
-2691.755065_548.5431295,0.3516131,0.1163666,0.32399824,0.017001495,0.1823163,0.008704287
-2691.755065_648.5431295,0.24841663,0.040436745,0.11572791,0.022006495,0.5626218,0.01079044
-2691.755065_748.5431295,0.29864916,0.21245264,0.1462754,0.006795282,0.31450668,0.021320911
-2691.755065_848.5431295,0.6561627,0.07469068,0.23207651,0.014441893,0.015132948,0.00749536
-2691.755065_948.5431295,0.49245313,0.20201963,0.13688979,0.01437991,0.15128869,0.002968854
-2791.755065_-151.4568705,0.40387738,0.06931726,0.310353,0.005779351,0.20903313,0.001639871
-2791.755065_-51.4568705,0.80592453,0.015785787,0.15282999,0.005044309,0.01818642,0.002228994
-2791.755065_1048.5431295,0.19764604,0.006311599,0.6249958,0.036457907,0.0350104,0.09957827
-2791.755065_1148.5431295,0.43778625,0.016370596,0.19938992,0.05478912,0.020824714,0.27083936
-2791.755065_1248.5431295,0.4378803,0.029571258,0.36669466,0.003475345,0.01652896,0.14584938
-2791.755065_1348.5431295,0.10502619,0.004463964,0.650846,0.000648271,0.043737613,0.19527796
-2791.755065_148.5431295,0.47370517,0.1016098,0.22626142,0.023866039,0.17013249,0.004425067
-2791.755065_248.5431295,0.6840681,0.012016065,0.26416805,0.01100042,0.019308819,0.009438555
-2791.755065_348.5431295,0.2690036,0.016870053,0.61957556,0.044829324,0.032813888,0.016907495
-2791.755065_448.5431295,0.32079923,0.010912724,0.6164452,0.03478221,0.002770739,0.014289902
-2791.755065_48.5431295,0.66117954,0.008522697,0.26730084,0.007898035,0.026505886,0.028593075
-2791.755065_548.5431295,0.3236698,0.14136343,0.3112144,0.014173202,0.19885112,0.010727991
-2791.755065_648.5431295,0.3220942,0.027571725,0.5477641,0.013886552,0.043769307,0.044914115
-2791.755065_748.5431295,0.3497619,0.010475155,0.519244,0.025850065,0.003665385,0.091003455
-2791.755065_848.5431295,0.16881569,0.053708084,0.24827465,0.001855749,0.5083322,0.019013617
-2791.755065_948.5431295,0.33582982,0.027407633,0.39031076,0.063611105,0.13606542,0.04677523
-2891.755065_-151.4568705,0.53962976,0.024392404,0.37850916,0.000892394,0.014753227,0.041823026
-2891.755065_-51.4568705,0.43251246,0.09758943,0.39661035,0.00199558,0.062017553,0.00927462
-2891.755065_1048.5431295,0.2737407,0.08785586,0.26843894,0.082339555,0.006202881,0.28142202
-2891.755065_1148.5431295,0.19780478,0.13317747,0.34113118,0.005199343,0.20353553,0.1191517
-2891.755065_1248.5431295,0.24879655,0.03414068,0.30431584,0.004641755,0.012560048,0.3955451
-2891.755065_1348.5431295,0.44438958,0.06676955,0.38414142,0.000477194,0.086475514,0.017746782
-2891.755065_148.5431295,0.4835752,0.20918742,0.23905762,0.007352638,0.016200706,0.04462638
-2891.755065_248.5431295,0.5528583,0.062343866,0.25343537,0.001553322,0.12689845,0.002910701
-2891.755065_348.5431295,0.5655129,0.013883484,0.24853288,0.00765598,0.0822261,0.082188725
-2891.755065_448.5431295,0.72583956,0.07079454,0.11512039,0.004383432,0.06720436,0.016657738
-2891.755065_48.5431295,0.6050661,0.030209364,0.33758566,0.001529009,0.018991848,0.006618086
-2891.755065_548.5431295,0.29674125,0.027562527,0.3149783,0.002851732,0.080102496,0.27776366
-2891.755065_648.5431295,0.44359168,0.00715053,0.22415711,0.011652192,0.2019937,0.11145487
-2891.755065_748.5431295,0.57711047,0.010149344,0.28886384,0.015901405,0.014144817,0.09383008
-2891.755065_848.5431295,0.093814835,0.09305418,0.12745893,0.001914652,0.61195993,0.07179746
-2891.755065_948.5431295,0.3269658,0.025034355,0.33248857,0.002836835,0.23789181,0.07478265
-2991.755065_-151.4568705,0.20694074,0.07079266,0.2545364,1.56E-06,0.45366594,0.014062669
-2991.755065_-51.4568705,0.28109506,0.38186023,0.3062876,0.001168791,0.025361426,0.004226973
-2991.755065_1048.5431295,0.002003669,0.15185784,0.21255657,0.000218733,0.029022187,0.60434103
-2991.755065_1148.5431295,0.003900772,0.058395684,0.1752879,8.91E-07,0.011533724,0.750881
-2991.755065_1248.5431295,0.099567145,0.00476106,0.056738466,0.000560391,0.8338265,0.004546437
-2991.755065_1348.5431295,0.40250584,0.05315725,0.17772618,2.26E-05,0.30076802,0.06582014
-2991.755065_148.5431295,0.5509928,0.13505965,0.24465246,0.000762114,0.04605401,0.022479093
-2991.755065_248.5431295,0.39072114,0.3117729,0.28568748,0.000574626,0.006664454,0.004579395
-2991.755065_348.5431295,0.54235625,0.059567086,0.29269415,0.00303649,0.007678391,0.09466762
-2991.755065_448.5431295,0.4950478,0.085731395,0.27023262,0.001357203,0.10743359,0.040197417
-2991.755065_48.5431295,0.30365375,0.20540911,0.32458997,0.000691294,0.16364604,0.002009857
-2991.755065_548.5431295,0.28928903,0.32668018,0.15304717,0.008446486,0.19997665,0.022560447
-2991.755065_648.5431295,0.33392528,0.13479233,0.25462374,0.002103593,0.07936403,0.19519101
-2991.755065_748.5431295,0.14827733,0.14064266,0.2859425,0.00059628,0.2328498,0.1916914
-2991.755065_848.5431295,0.03782768,0.025168616,0.14575411,0.000148286,0.585431,0.2056703
-2991.755065_948.5431295,0.25916964,0.2830914,0.21923345,7.37E-05,0.014054841,0.2243769
-3091.755065_-151.4568705,0.5930517,0.05611994,0.31976658,0.001668422,0.02714527,0.002248085
-3091.755065_-51.4568705,0.35541925,0.11024095,0.43115395,0.002332498,0.099267386,0.001585887
-3091.755065_1048.5431295,0.047453154,0.34463686,0.20632465,0.000152896,0.033670668,0.36776182
-3091.755065_1148.5431295,0.002773685,0.009164272,0.07675581,2.09E-05,0.8249426,0.08634269
-3091.755065_1248.5431295,0.001235843,0.1938566,0.18610254,1.14E-07,0.099107906,0.519697
-3091.755065_1348.5431295,0.26756766,0.04813467,0.25177345,1.68E-05,0.27290487,0.1596026
-3091.755065_148.5431295,0.45625496,0.07256105,0.37599444,0.003568099,0.08614422,0.005477175
-3091.755065_248.5431295,0.30629793,0.052496817,0.56278414,0.000301892,0.07480544,0.003313771
-3091.755065_348.5431295,0.65451676,0.047958624,0.14134778,0.001912774,0.15271577,0.001548307
-3091.755065_448.5431295,0.5407166,0.13578427,0.24969077,0.012338704,0.04070354,0.02076609
-3091.755065_48.5431295,0.4434377,0.05612469,0.45689765,0.000298072,0.014357173,0.028884765
-3091.755065_548.5431295,0.5498135,0.15389772,0.26796085,0.005209264,0.017808456,0.005310253
-3091.755065_648.5431295,0.5248715,0.09742431,0.31510758,0.008098834,0.031076172,0.023421515
-3091.755065_748.5431295,0.44429022,0.086118005,0.34441847,0.014086292,0.0130576,0.09802941
-3091.755065_848.5431295,0.4491268,0.016138902,0.390663,0.001951015,0.006701952,0.13541827
-3091.755065_948.5431295,0.118181705,0.109222315,0.074690945,0.001066989,0.5658475,0.1309905
-3191.755065_-151.4568705,0.24236684,0.013820679,0.7018314,0.01407152,0.006443101,0.021466507
-3191.755065_-51.4568705,0.6160214,0.004018713,0.27908614,0.00271102,0.02320854,0.07495419
-3191.755065_1048.5431295,0.3213923,0.102411605,0.31710702,0.026191922,0.20741597,0.025481243
-3191.755065_1148.5431295,0.3271681,0.039757583,0.5330144,0.011658315,0.008828753,0.07957276
-3191.755065_1248.5431295,0.40480214,0.011093351,0.21401493,5.35E-05,0.10228463,0.26775146
-3191.755065_1348.5431295,0.7993782,0.022523278,0.10857907,1.51E-05,0.051223066,0.018281335
-3191.755065_148.5431295,0.5373692,0.03644689,0.38810983,0.007617051,0.026990244,0.003466755
-3191.755065_248.5431295,0.55528736,0.15139164,0.25310105,0.008082639,0.026298434,0.005838932
-3191.755065_348.5431295,0.45769218,0.085219316,0.32008073,0.007377833,0.12509115,0.004538758
-3191.755065_448.5431295,0.60298586,0.009931677,0.2539168,0.010562818,0.10852268,0.01408018
-3191.755065_48.5431295,0.5136264,0.14821869,0.32296914,0.000930041,0.013031044,0.001224671
-3191.755065_548.5431295,0.59756404,0.005588735,0.33058366,0.026411163,0.01297525,0.026877128
-3191.755065_648.5431295,0.51656544,0.028433923,0.36327735,0.015983129,0.013641591,0.062098555
-3191.755065_748.5431295,0.2791257,0.057805862,0.5159251,0.006041473,0.031485204,0.1096167
-3191.755065_848.5431295,0.38859186,0.004026603,0.51058954,0.004818961,0.005347249,0.08662583
-3191.755065_948.5431295,0.31335434,0.006225376,0.5692831,0.023417952,0.021668296,0.06605085
-3291.755065_-151.4568705,0.37325168,0.020056332,0.49876502,0.041619003,0.018285556,0.048022415
-3291.755065_-51.4568705,0.68843806,0.006716965,0.2202663,0.007392965,0.012787086,0.06439865
-3291.755065_1048.5431295,0.42877477,0.004452703,0.32478964,0.010527338,0.08767923,0.14377628
-3291.755065_1148.5431295,0.38284338,0.04129341,0.32589775,0.00948022,0.057910293,0.18257497
-3291.755065_1248.5431295,0.32235095,0.005206207,0.45238024,7.75E-05,0.08512513,0.13486004
-3291.755065_1348.5431295,0.22819224,0.011503356,0.5909513,0.001268797,0.11629346,0.051790807
-3291.755065_148.5431295,0.44967905,0.023798129,0.3186549,0.002815,0.19976927,0.005283608
-3291.755065_248.5431295,0.6266903,0.045363214,0.27186644,0.009780875,0.02604724,0.020251935
-3291.755065_348.5431295,0.37679425,0.004118629,0.5185564,0.02434622,0.050485898,0.025698608
-3291.755065_448.5431295,0.38096607,0.04455912,0.48936543,0.017035361,0.027185366,0.04088867
-3291.755065_48.5431295,0.6856089,0.01077546,0.26394317,0.008488384,0.024112659,0.00707137
-3291.755065_548.5431295,0.37119582,0.02073926,0.39529496,0.025076097,0.059972633,0.12772124
-3291.755065_648.5431295,0.36648262,0.004059073,0.5698931,0.035914637,0.009416186,0.014234318
-3291.755065_748.5431295,0.32092288,0.015252277,0.6056013,0.009043384,0.034616966,0.014563214
-3291.755065_848.5431295,0.50757945,0.13427866,0.16616274,0.030241359,0.12525946,0.036478322
-3291.755065_948.5431295,0.4092222,0.020505352,0.53014606,0.02352556,0.005776436,0.010824342
-3391.755065_-151.4568705,0.2243162,0.061978094,0.364976,0.02982568,0.31389663,0.005007407
-3391.755065_-51.4568705,0.49900997,0.02666377,0.38243714,0.007013671,0.00564552,0.079229966
-3391.755065_1048.5431295,0.5904474,0.030241223,0.21575554,0.019563938,0.011489323,0.13250257
-3391.755065_1148.5431295,0.09358409,0.007246207,0.65544677,0.005308238,0.11926788,0.119146824
-3391.755065_1248.5431295,0.2705004,0.002575354,0.58750373,0.000471292,0.00762573,0.13132349
-3391.755065_1348.5431295,0.086878784,0.001758316,0.76668984,0.005007216,0.052556105,0.08710968
-3391.755065_148.5431295,0.7220093,0.007816169,0.16204612,0.019704806,0.08235318,0.006070327
-3391.755065_248.5431295,0.53792155,0.05489904,0.18700382,0.001656785,0.19195738,0.026561461
-3391.755065_348.5431295,0.55775285,0.013536277,0.40071875,0.003513364,0.003724472,0.020754335
-3391.755065_448.5431295,0.7693966,0.035062537,0.17152642,0.002654124,0.009845764,0.011514558
-3391.755065_48.5431295,0.53851116,0.00575674,0.32043007,0.022096168,0.004388202,0.108817644
-3391.755065_548.5431295,0.5229025,0.06502927,0.31012323,0.004860621,0.017744286,0.0793401
-3391.755065_648.5431295,0.4003652,0.11635479,0.41865605,0.008589035,0.04940192,0.006633004
-3391.755065_748.5431295,0.48579028,0.115625635,0.19119786,0.007262492,0.17840517,0.02171855
-3391.755065_848.5431295,0.35213616,0.12799126,0.40370452,0.00372913,0.09848562,0.013953358
-3391.755065_948.5431295,0.5486648,0.1778667,0.12402794,0.0142558,0.11496388,0.02022093
-3491.755065_-151.4568705,0.42503294,0.004322103,0.18540418,0.005933774,0.17412111,0.20518585
-3491.755065_-51.4568705,0.20887086,0.065738,0.5515042,0.005349482,0.04893761,0.119599834
-3491.755065_1048.5431295,0.5145634,0.05605145,0.31106526,0.004210166,0.010141423,0.103968374
-3491.755065_1148.5431295,0.22841239,0.003741855,0.6206287,0.003534422,0.010956164,0.13272643
-3491.755065_1248.5431295,0.061134648,0.003257562,0.8651026,0.000575934,0.006809943,0.06311926
-3491.755065_1348.5431295,0.003879277,0.00043379,0.9594,9.05E-05,0.004674507,0.031521935
-3491.755065_148.5431295,0.31004366,0.11514477,0.28273308,0.003632041,0.26374295,0.024703482
-3491.755065_248.5431295,0.56073445,0.049330443,0.255725,0.003922551,0.10758105,0.022706527
-3491.755065_348.5431295,0.49933606,0.011021741,0.46454677,0.00598752,0.002585296,0.016522666
-3491.755065_448.5431295,0.6347613,0.055229604,0.23580861,0.006221871,0.02577774,0.04220085
-3491.755065_48.5431295,0.26104388,0.002884456,0.60376465,0.006683562,0.007560789,0.118062645
-3491.755065_548.5431295,0.49377626,0.039675526,0.21581127,0.009378084,0.23845772,0.002901114
-3491.755065_648.5431295,0.31523493,0.02151721,0.4950523,0.020846484,0.13994636,0.00740272
-3491.755065_748.5431295,0.55213255,0.038472757,0.31882846,0.015956126,0.055594258,0.019015897
-3491.755065_848.5431295,0.54117066,0.019269217,0.39441377,0.023138417,0.005186003,0.016821954
-3491.755065_948.5431295,0.42653668,0.20174088,0.13300027,0.01205241,0.21552351,0.011146254
-3591.755065_-151.4568705,0.32235363,0.014492678,0.588369,0.004862034,0.052513346,0.017409328
-3591.755065_-51.4568705,0.2880773,0.124842934,0.26063785,0.03972975,0.11677313,0.16993901
-3591.755065_1048.5431295,0.55261576,0.06749797,0.24959677,0.028493306,0.0963481,0.005448164
-3591.755065_1148.5431295,0.32578346,0.028034925,0.5427117,0.046260692,0.049287383,0.007921884
-3591.755065_1248.5431295,0.17293745,0.008422938,0.7685764,0.004821868,0.021061262,0.024180077
-3591.755065_1348.5431295,0.15585212,0.000469625,0.71429294,0.046881616,0.032753084,0.04975065
-3591.755065_148.5431295,0.2659511,0.025321135,0.31695327,0.011062697,0.01215837,0.36855343
-3591.755065_248.5431295,0.2990182,0.01232653,0.65986216,0.008318068,0.003972567,0.016502451
-3591.755065_348.5431295,0.662945,0.008787545,0.15597443,0.009143742,0.012254842,0.15089443
-3591.755065_448.5431295,0.35365057,0.012123408,0.59614754,0.010471918,0.005528189,0.022078479
-3591.755065_48.5431295,0.095327415,0.005819085,0.6857603,0.02966709,0.124530636,0.05889541
-3591.755065_548.5431295,0.2946214,0.018242542,0.6016101,0.003769614,0.07054245,0.011213852
-3591.755065_648.5431295,0.6519489,0.019424379,0.28392273,0.01523871,0.003760847,0.025704453
-3591.755065_748.5431295,0.33987933,0.004969084,0.47253838,0.022213731,0.08734917,0.07305032
-3591.755065_848.5431295,0.5423953,0.006801202,0.42758903,0.008445457,0.005352031,0.009417001
-3591.755065_948.5431295,0.6757679,0.042517282,0.2018094,0.038799677,0.02233399,0.018771779
-3691.755065_-151.4568705,0.5813726,0.09410478,0.15297623,0.013152154,0.061324477,0.09706978
-3691.755065_-51.4568705,0.12800418,0.03364091,0.7374667,0.021446692,0.05303065,0.026410863
-3691.755065_1048.5431295,0.67582995,0.014513247,0.21647057,0.025345355,0.008418431,0.059422504
-3691.755065_1148.5431295,0.52868754,0.10686636,0.26543325,0.026283626,0.06797209,0.004757135
-3691.755065_1248.5431295,0.32069066,0.12381833,0.22574607,0.01383625,0.29361954,0.022289084
-3691.755065_1348.5431295,0.60720575,0.021668991,0.13918857,0.043595273,0.016307982,0.17203344
-3691.755065_148.5431295,0.14318772,0.038160816,0.67897016,0.015349843,0.039368697,0.08496275
-3691.755065_248.5431295,0.34346297,0.019765737,0.45808053,0.009569453,0.15498447,0.01413679
-3691.755065_348.5431295,0.24004954,0.000960513,0.6398845,0.011873481,0.008618531,0.09861345
-3691.755065_448.5431295,0.4771228,0.039962888,0.4141355,0.027365249,0.009324152,0.03208935
-3691.755065_48.5431295,0.48881227,0.019877758,0.25320426,0.03933137,0.1384611,0.060313247
-3691.755065_548.5431295,0.29050234,0.018816127,0.50992745,0.011017514,0.078633845,0.09110275
-3691.755065_648.5431295,0.76921463,0.010318458,0.15475903,0.016631145,0.021615183,0.027461505
-3691.755065_748.5431295,0.19198407,0.021377988,0.6879493,0.031312257,0.060083166,0.007293264
-3691.755065_848.5431295,0.18451652,0.028927406,0.17820121,0.010716658,0.53177845,0.065859765
-3691.755065_948.5431295,0.60954523,0.10047008,0.19732603,0.012706315,0.02076296,0.059189428
-3791.755065_-151.4568705,0.24673413,0.013678784,0.48821047,0.002368474,0.2240913,0.024916891
-3791.755065_-51.4568705,0.35195956,0.12916973,0.19989552,0.011683128,0.29300907,0.014282981
-3791.755065_1048.5431295,0.58512115,0.08351193,0.14039414,0.016130507,0.004941609,0.1699006
-3791.755065_1148.5431295,0.43182778,0.07795106,0.36940908,0.06554609,0.023089763,0.032176152
-3791.755065_1248.5431295,0.39738205,0.11332305,0.23239414,0.030083876,0.21150593,0.015310919
-3791.755065_1348.5431295,0.60571826,0.12745684,0.2235069,0.013790087,0.013388726,0.01613922
-3791.755065_148.5431295,0.38816106,0.000986152,0.3870584,0.026272671,0.008044333,0.18947738
-3791.755065_248.5431295,0.16493058,0.06497395,0.57662153,0.008548107,0.16061899,0.024306804
-3791.755065_348.5431295,0.2410951,0.006612461,0.63693875,0.047330663,0.005567836,0.062455237
-3791.755065_448.5431295,0.15560775,0.014853443,0.5944747,0.03202775,0.18960102,0.013435339
-3791.755065_48.5431295,0.39523566,0.04274058,0.5149577,0.008410058,0.03431504,0.004340963
-3791.755065_548.5431295,0.23748368,0.14758633,0.43151388,0.012489229,0.15221445,0.018712448
-3791.755065_648.5431295,0.30773377,0.041445635,0.5545817,0.04874507,0.027288605,0.020205233
-3791.755065_748.5431295,0.52018774,0.05320841,0.18332778,0.009506169,0.21810783,0.015662076
-3791.755065_848.5431295,0.17351273,0.020643128,0.5266249,0.004002383,0.23097423,0.044242702
-3791.755065_948.5431295,0.45281002,0.085974894,0.1457132,0.014957914,0.2841718,0.016372196
1011.1452947_-149.83643,0.31293675,0.022757694,0.48523685,0.004197235,0.13379516,0.041076276
1011.1452947_-249.83643,0.033363476,0.07770219,0.5366594,0.005356613,0.31932217,0.027596144
1011.1452947_-349.83643,0.51307845,0.019666422,0.40461415,0.02317599,0.023823785,0.01564125
1011.1452947_-449.83643,0.60053086,0.023876308,0.13295053,0.02756572,0.20408338,0.010993202
1011.1452947_-49.83643,0.5473863,0.008888892,0.22579406,0.0079055,0.09015764,0.119867615
1011.1452947_-549.83643,0.16135232,0.025821406,0.600097,0.00290533,0.17625399,0.033569954
1011.1452947_150.16357,0.33172324,0.032077596,0.43669227,0.004686215,0.076361015,0.11845962
1011.1452947_250.16357,0.45915526,0.10350997,0.26708168,0.004083005,0.11381432,0.052355777
1011.1452947_350.16357,0.3841985,0.13590069,0.39822352,0.011488084,0.06692789,0.0032614
1011.1452947_450.16357,0.5598318,0.078898706,0.17537665,0.008120003,0.14801678,0.029755957
1011.1452947_50.16357,0.28211242,0.010029286,0.63142,0.041679427,0.01992532,0.014833525
1011.1452947_550.16357,0.57785374,0.09943206,0.23832607,0.035016876,0.040792633,0.008578579
1011.1452947_650.16357,0.4960505,0.025380604,0.36551878,0.01819172,0.05852327,0.036335047
1011.1452947_750.16357,0.60822624,0.082842454,0.20589636,0.019404141,0.079673104,0.003957722
1011.1452947_850.16357,0.49195147,0.028724447,0.35810843,0.019516768,0.054899108,0.046799757
1011.1452947_950.16357,0.42079902,0.037288424,0.46137607,0.01899126,0.007823753,0.053721447
1111.1452947_-149.83643,0.6038919,0.017933631,0.30991757,0.03652419,0.005395941,0.02633679
1111.1452947_-249.83643,0.14654425,0.108651474,0.17169799,0.003472203,0.5391669,0.030467175
1111.1452947_-349.83643,0.36989182,0.047700163,0.4169311,0.034172278,0.010941183,0.12036342
1111.1452947_-449.83643,0.5731895,0.014110594,0.338163,0.024023497,0.034803037,0.015710406
1111.1452947_-49.83643,0.3743715,0.003866488,0.4579394,0.016163701,0.013106311,0.13455263
1111.1452947_-549.83643,0.20460919,0.017483497,0.65169144,0.015514734,0.09448298,0.016218128
1111.1452947_150.16357,0.35166493,0.022669524,0.21806788,0.002021787,0.23562056,0.16995539
1111.1452947_250.16357,0.42279014,0.03290656,0.4850215,0.01631853,0.03198864,0.010974665
1111.1452947_350.16357,0.37150544,0.0831913,0.28153855,0.025771264,0.23525134,0.002742163
1111.1452947_450.16357,0.48110282,0.2046347,0.2576182,0.013488506,0.039512467,0.003643307
1111.1452947_50.16357,0.5608508,0.06630223,0.2944658,0.014723611,0.03917528,0.024482286
1111.1452947_550.16357,0.565691,0.071447425,0.22024971,0.018874245,0.12137465,0.002362938
1111.1452947_650.16357,0.40062693,0.10863669,0.22728999,0.033448983,0.19173042,0.03826697
1111.1452947_750.16357,0.5696777,0.06381779,0.25103158,0.003655986,0.032390825,0.079426065
1111.1452947_850.16357,0.2058981,0.015674964,0.63166004,0.018417982,0.05770876,0.07064013
1111.1452947_950.16357,0.02424494,0.002995412,0.8743489,0.000429517,0.05514403,0.042837255
1211.1452947_-149.83643,0.14172195,0.044634547,0.15312144,0.002432649,0.61919767,0.038891666
1211.1452947_-249.83643,0.78312165,0.00588556,0.18620941,0.002391353,0.006977513,0.015414551
1211.1452947_-349.83643,0.41694456,0.01007521,0.3188884,0.002803834,0.204197,0.047091007
1211.1452947_-449.83643,0.39185768,0.028795319,0.23284166,0.00255315,0.25955173,0.08440043
1211.1452947_-49.83643,0.22927871,0.007976427,0.35437346,0.001079762,0.38708705,0.020204652
1211.1452947_-549.83643,0.4207977,0.13079508,0.15484564,0.00538538,0.28546673,0.002709414
1211.1452947_150.16357,0.26822087,0.04821831,0.57157296,0.010682732,0.098673746,0.002631361
1211.1452947_250.16357,0.5008807,0.075708635,0.30137974,0.018964866,0.08695217,0.016113825
1211.1452947_350.16357,0.65721136,0.05847809,0.19640781,0.024790261,0.059867114,0.003245437
1211.1452947_450.16357,0.64525753,0.06136683,0.25718307,0.014186687,0.017325485,0.004680357
1211.1452947_50.16357,0.29115155,0.049800873,0.4589461,0.003783496,0.17658976,0.019728191
1211.1452947_550.16357,0.6434629,0.09817246,0.1877658,0.004665216,0.040979277,0.024954312
1211.1452947_650.16357,0.61471367,0.111240044,0.11594432,0.019380141,0.13305758,0.00566428
1211.1452947_750.16357,0.4295412,0.00676766,0.37929773,0.016323006,0.023142084,0.1449283
1211.1452947_850.16357,0.13532478,0.01246868,0.6930011,0.003438511,0.13221253,0.02355448
1211.1452947_950.16357,0.018715378,0.000616133,0.9598017,8.68E-05,0.010535288,0.010244862
1311.1452947_-149.83643,0.5723215,0.095987156,0.21411487,0.00548016,0.08674977,0.02534656
