,Inhibitory,Endothelial,Astrocyte,Microglia,OD,Excitatory
-3591.755065_48.5431295,0.283307734,0.213465088,0,0.069473471,0.261225982,0.172527726
-3591.755065_548.5431295,0.449847816,0.244687514,0,0,0.208426339,0.097038331
-3591.755065_648.5431295,0.810931443,0,0,0,0,0.189068557
-3591.755065_748.5431295,0.687055888,0.150408351,0,0,0.162535761,0
-3591.755065_848.5431295,0.651708299,0,0,0.147510985,0.054768778,0.146011938
-3591.755065_948.5431295,1,0,0,0,0,0
-3691.755065_-151.4568705,0.15847406,0.257184579,0,0.072903809,0,0.511437551
-3691.755065_-51.4568705,0.165910166,0.068588667,0.137534532,0,0.175875985,0.45209065
-3691.755065_1048.5431295,0.918960899,0,0,0,0,0.081039101
-3691.755065_1148.5431295,0.646016813,0.060232565,0,0.181134643,0,0.11261598
-3691.755065_1248.5431295,0.597933553,0.402066447,0,0,0,0
-3691.755065_1348.5431295,0.603206959,0,0,0.052770846,0,0.344022195
-3691.755065_148.5431295,0.077930736,0.099984814,0.164962297,0.091891374,0.339103934,0.226126846
-3691.755065_248.5431295,0.206960923,0.318394025,0,0,0.135763015,0.338882037
-3691.755065_348.5431295,0.320543452,0,0,0.155529301,0.358522611,0.165404636
-3691.755065_448.5431295,0.712840038,0,0,0,0,0.287159962
-3691.755065_48.5431295,0.384313121,0.177619979,0,0,0.068054405,0.370012495
-3691.755065_548.5431295,0.585670441,0.220750892,0,0,0.127913966,0.065664701
-3691.755065_648.5431295,0.69759586,0,0,0,0,0.30240414
-3691.755065_748.5431295,0.497371247,0.117987746,0,0.280367776,0.104273232,0
-3691.755065_848.5431295,0.454681831,0.545318169,0,0,0,0
-3691.755065_948.5431295,0.860675589,0,0,0.139324411,0,0
-3791.755065_-151.4568705,0.054676642,0.37102695,0,0.105667871,0.224833457,0.24379508
-3791.755065_-51.4568705,0.164830375,0.247450632,0.100512386,0.145011551,0,0.342195055
-3791.755065_1048.5431295,0.77829055,0,0,0.22170945,0,0
-3791.755065_1148.5431295,0.66532891,0,0,0.174368879,0,0.160302211
-3791.755065_1248.5431295,0.438983084,0.333913367,0,0.164104851,0,0.062998698
-3791.755065_1348.5431295,0.793025853,0,0,0.206974147,0,0
-3791.755065_148.5431295,0.310956345,0,0,0,0.202275943,0.486767712
-3791.755065_248.5431295,0.084716256,0.301146982,0.157365761,0,0.338095272,0.118675728
-3791.755065_348.5431295,0.207582693,0,0,0.323127428,0.345047735,0.124242144
-3791.755065_448.5431295,0.154189645,0.277576948,0,0.098160111,0.218259167,0.251814128
-3791.755065_48.5431295,0.137187013,0.182552754,0,0.068131947,0.156149982,0.455978305
-3791.755065_548.5431295,0.492028589,0.238524665,0.206013368,0,0.063433378,0
-3791.755065_648.5431295,0.601085659,0.107607412,0,0.145370921,0.145936008,0
-3791.755065_748.5431295,0.59595266,0.191714846,0.068327108,0,0,0.144005386
-3791.755065_848.5431295,0.261579038,0.388556763,0.149937001,0,0.199927199,0
-3791.755065_948.5431295,0.453466699,0.376876151,0,0.169657151,0,0
1011.1452947_-149.83643,0.485142484,0.168853741,0,0,0.124010478,0.221993297
1011.1452947_-249.83643,0.188495864,0.305440283,0.094146943,0.12066008,0.23552872,0.05572811
1011.1452947_-349.83643,0.42740335,0,0,0.134465001,0.066806923,0.371324726
1011.1452947_-449.83643,0.318155893,0.198461344,0,0,0,0.483382763
1011.1452947_-49.83643,0.520552277,0.159838941,0,0,0,0.319608783
1011.1452947_-549.83643,0.174153556,0.341868238,0.136872264,0,0.112663072,0.23444287
1011.1452947_150.16357,0.423046227,0.206359844,0,0.308373292,0,0.062220637
1011.1452947_250.16357,0.575971174,0.09290414,0.115101215,0.216023472,0,0
1011.1452947_350.16357,0.692055442,0.091826777,0.098133432,0.117984349,0,0
1011.1452947_450.16357,0.800142354,0.199857646,0,0,0,0
1011.1452947_50.16357,0.678131288,0.080793922,0,0,0.169437953,0.071636837
1011.1452947_550.16357,0.764932506,0.079989903,0,0.155077592,0,0
1011.1452947_650.16357,0.607673836,0.129300937,0,0.263025226,0,0
1011.1452947_750.16357,0.881198864,0.118801136,0,0,0,0
1011.1452947_850.16357,0.380593068,0.141702556,0,0.257239383,0,0.220464993
1011.1452947_950.16357,0.282395825,0,0.273898138,0,0.191353114,0.252352923
1111.1452947_-149.83643,0.747515632,0,0,0,0,0.252484368
1111.1452947_-249.83643,0.520850474,0.318320618,0,0.081491983,0,0.079336926
1111.1452947_-349.83643,0.495594645,0,0.200649742,0.167378646,0,0.136376967
1111.1452947_-449.83643,0.471111892,0.109588547,0.156839084,0,0,0.262460477
1111.1452947_-49.83643,0.474819495,0,0,0,0.264549497,0.260631007
1111.1452947_-549.83643,0.334971286,0.090954936,0,0.158597032,0.14220958,0.273267166
1111.1452947_150.16357,0.36245001,0.402793052,0,0,0,0.234756938
1111.1452947_250.16357,0.718467987,0.114449915,0,0,0.087975258,0.07910684
1111.1452947_350.16357,0.753965603,0.187350129,0,0.058684268,0,0
1111.1452947_450.16357,0.817497715,0.06420601,0,0.118296275,0,0
1111.1452947_50.16357,0.857706968,0,0,0,0,0.142293032
1111.1452947_550.16357,0.835048376,0.084024901,0,0,0,0.080926723
1111.1452947_650.16357,0.74323544,0.173164172,0,0,0,0.083600388
1111.1452947_750.16357,0.570344468,0,0,0.179681184,0,0.249974348
1111.1452947_850.16357,0.137748558,0.122984519,0,0,0.446961711,0.292305212
1111.1452947_950.16357,0,0.069402277,0,0,0.930597723,0
1211.1452947_-149.83643,0.400370941,0.468201745,0,0.051416198,0,0.080011116
1211.1452947_-249.83643,0.787827574,0,0.090178659,0,0,0.121993768
1211.1452947_-349.83643,0.59782999,0.137434897,0,0.178753908,0,0.085981205
1211.1452947_-449.83643,0.330807984,0.378648033,0,0,0,0.290543983
1211.1452947_-49.83643,0.592335018,0.330010454,0,0,0.077654528,0
1211.1452947_-549.83643,0.529562557,0.470437443,0,0,0,0
1211.1452947_150.16357,0.455705199,0.164053068,0.106815447,0,0.159027508,0.114398777
1211.1452947_250.16357,0.76333226,0.136117408,0,0.100550331,0,0
1211.1452947_350.16357,1,0,0,0,0,0
1211.1452947_450.16357,1,0,0,0,0,0
1211.1452947_50.16357,0.472647749,0.281757845,0,0.062604853,0.106562259,0.076427294
1211.1452947_550.16357,0.858724336,0.057195609,0,0,0,0.084080055
1211.1452947_650.16357,0.860636406,0.139363594,0,0,0,0
1211.1452947_750.16357,0.251255189,0,0,0,0.217075252,0.531669559
1211.1452947_850.16357,0,0.225304332,0,0,0.495323492,0.279372176
1211.1452947_950.16357,0,0,0,0,1,0
1311.1452947_-149.83643,0.690248164,0.083266098,0.053937882,0.172547856,0,0
1311.1452947_-249.83643,0.589243328,0.157929235,0.107229685,0.058510929,0,0.087086823
1311.1452947_-349.83643,0.929097783,0,0,0,0,0.070902217
1311.1452947_-449.83643,0.855193269,0.076679356,0,0,0,0.068127376
1311.1452947_-49.83643,0.853621359,0,0,0,0,0.146378641
1311.1452947_-549.83643,0.644850288,0.069677014,0.107764808,0.085382064,0.092325826,0
1311.1452947_150.16357,0.895402729,0,0,0,0,0.104597271
1311.1452947_250.16357,0.746375737,0.094349075,0,0,0,0.159275188
1311.1452947_350.16357,0.522469912,0.183067142,0,0,0.093597464,0.200865482
1311.1452947_450.16357,0.618469588,0.07920461,0.060217163,0.098709978,0,0.143398661
1311.1452947_50.16357,0.733416479,0,0.135833229,0.130750292,0,0
1311.1452947_550.16357,0.72331512,0,0,0,0,0.27668488
1311.1452947_650.16357,0.421380228,0,0.22687014,0,0,0.351749632
1311.1452947_750.16357,0.388409134,0.120976753,0,0.255340948,0,0.235273164
1311.1452947_850.16357,0.070193258,0.156102031,0,0,0.307855851,0.46584886
1311.1452947_950.16357,0,0.10358671,0,0.117562805,0.56579379,0.213056694
1411.1452947_-149.83643,0.702608079,0.189640353,0,0,0,0.107751567
1411.1452947_-249.83643,0.785573549,0.092170706,0.122255745,0,0,0
1411.1452947_-349.83643,1,0,0,0,0,0
1411.1452947_-449.83643,0.927535158,0.072464842,0,0,0,0
1411.1452947_-49.83643,0.72415602,0.124321888,0,0.057532177,0.093989915,0
1411.1452947_-549.83643,1,0,0,0,0,0
1411.1452947_150.16357,0.858873262,0.141126738,0,0,0,0
1411.1452947_250.16357,0.750986745,0,0,0.116021503,0,0.132991752
1411.1452947_350.16357,0.274529419,0.142169559,0.157505941,0.234120244,0.080535604,0.111139234
1411.1452947_450.16357,0.362297002,0.22043039,0.09664643,0.091470914,0,0.229155264
1411.1452947_50.16357,0.815151418,0,0.093794042,0,0,0.09105454
1411.1452947_550.16357,0.624347887,0,0,0,0,0.375652113
1411.1452947_650.16357,0.200707777,0.454846741,0.162033438,0,0,0.182412045
1411.1452947_750.16357,0.154815156,0.205877669,0.076358386,0.448022471,0,0.114926318
1411.1452947_850.16357,0.081011794,0,0,0.152892779,0,0.766095427
1411.1452947_950.16357,0.073855112,0.126953607,0,0,0.237851477,0.561339805
1511.1452947_-149.83643,0.736206603,0,0,0.091777255,0.100167855,0.071848287
1511.1452947_-249.83643,0.932477834,0,0.067522166,0,0,0
1511.1452947_-349.83643,0.94262624,0,0.05737376,0,0,0
1511.1452947_-449.83643,1,0,0,0,0,0
1511.1452947_-49.83643,0.683770093,0.164295262,0,0.060932569,0,0.091002076
1511.1452947_-549.83643,0.828230653,0.171769347,0,0,0,0
1511.1452947_150.16357,0.759512215,0.06561385,0,0.174873936,0,0
1511.1452947_250.16357,0.763410012,0,0,0,0.094745954,0.141844035
1511.1452947_350.16357,0.534465912,0,0.108668652,0.104656865,0,0.25220857
1511.1452947_450.16357,0.746778797,0,0.087306151,0.165915052,0,0
1511.1452947_50.16357,0.754729561,0.147288475,0,0,0,0.097981964
1511.1452947_550.16357,0.435455432,0.282084433,0,0,0,0.282460135
1511.1452947_650.16357,0.317057897,0.411392649,0,0,0,0.271549454
1511.1452947_750.16357,0.137805375,0.324300974,0,0.204559769,0,0.333333881
1511.1452947_850.16357,0.078890659,0.357013858,0,0,0,0.564095484
1511.1452947_950.16357,0,0,0,0,0.233788921,0.766211079
1611.1452947_-149.83643,0.673296333,0,0,0.238526006,0,0.088177661
1611.1452947_-249.83643,1,0,0,0,0,0
1611.1452947_-349.83643,0.898448732,0.101551268,0,0,0,0
1611.1452947_-449.83643,0.823991012,0.176008988,0,0,0,0
1611.1452947_-49.83643,0.785640644,0.132118531,0,0.082240825,0,0
1611.1452947_-549.83643,0,0,0,0,1,0
1611.1452947_150.16357,0.579830815,0.295967632,0.124201553,0,0,0
1611.1452947_250.16357,0.786701358,0,0,0.104634385,0,0.108664257
1611.1452947_350.16357,0.444626578,0.173990597,0,0.062160239,0,0.319222586
1611.1452947_450.16357,0.21566405,0.467002354,0.05884351,0,0,0.258490087
1611.1452947_50.16357,0.860380099,0.139619901,0,0,0,0
1611.1452947_550.16357,0.342797521,0.206892506,0,0.225349683,0,0.22496029
1611.1452947_650.16357,0,0.447936044,0.325305039,0.163261313,0,0.063497603
1611.1452947_750.16357,0,0.522054251,0.421750327,0,0.056195422,0
1611.1452947_850.16357,0,0.574332647,0.05684304,0.10791008,0,0.260914234
1611.1452947_950.16357,0,0.277527087,0.110380272,0,0,0.612092641
1711.1452947_-149.83643,0.66265431,0.151972796,0,0.185372894,0,0
1711.1452947_-249.83643,0.827836996,0.080016241,0.092146763,0,0,0
1711.1452947_-349.83643,0.913656487,0.086343513,0,0,0,0
1711.1452947_-449.83643,0.809657831,0.119811049,0,0.07053112,0,0
1711.1452947_-49.83643,0.543212015,0.259006965,0,0.19778102,0,0
1711.1452947_-549.83643,0.533779057,0,0,0,0.466220943,0
1711.1452947_150.16357,0.834717485,0.165282515,0,0,0,0
1711.1452947_250.16357,0.941011932,0,0,0,0.058988068,0
1711.1452947_350.16357,0.741973888,0,0,0,0,0.258026112
1711.1452947_450.16357,0.289965076,0.562505009,0,0,0,0.147529914
1711.1452947_50.16357,1,0,0,0,0,0
1711.1452947_550.16357,0.125378819,0.393233379,0,0.181299325,0,0.300088476
1711.1452947_650.16357,0,1,0,0,0,0
1711.1452947_750.16357,0,0,0,0,0,1
1711.1452947_850.16357,0,0.709715029,0,0.237943496,0,0.052341475
1711.1452947_950.16357,0,0.125543774,0.184638367,0,0.084764582,0.605053277
1811.1452947_-149.83643,0.814190094,0.126695535,0,0,0,0.059114371
1811.1452947_-249.83643,0.894250882,0,0.050647328,0.05510179,0,0
1811.1452947_-349.83643,0.925459182,0.074540818,0,0,0,0
1811.1452947_-449.83643,0.874767672,0.125232328,0,0,0,0
1811.1452947_-49.83643,0.671851545,0,0.095569957,0,0.07913421,0.153444287
1811.1452947_-549.83643,0.488298375,0,0,0,0.511701625,0
1811.1452947_150.16357,0.39342633,0.333977985,0,0.170844598,0.101751086,0
1811.1452947_250.16357,0.349793474,0.398535305,0.057749378,0.086014326,0,0.107907517
1811.1452947_350.16357,0.396715977,0.519434816,0.083849207,0,0,0
1811.1452947_450.16357,0.515682458,0,0,0.151076128,0,0.333241414
1811.1452947_50.16357,0.645852698,0.152423976,0,0.09378128,0,0.107942046
1811.1452947_550.16357,0.512588061,0.150784202,0,0,0,0.336627737
1811.1452947_650.16357,0.356193654,0.227497543,0,0.108779943,0.137115172,0.170413688
1811.1452947_750.16357,0.563346284,0,0,0,0,0.436653716
1811.1452947_850.16357,0,0.52876532,0,0,0,0.47123468
1811.1452947_950.16357,0,0.166423476,0,0,0,0.833576524
1911.1452947_-149.83643,0.918414254,0,0,0,0.081585746,0
1911.1452947_-249.83643,0.687915778,0.112864105,0.118402469,0,0.080817648,0
1911.1452947_-349.83643,0.819184256,0.126412423,0,0.05440332,0,0
1911.1452947_-449.83643,1,0,0,0,0,0
1911.1452947_-49.83643,0.669865968,0.200800353,0,0,0,0.129333679
1911.1452947_-549.83643,0.359539353,0.320298508,0,0.078759334,0.164664913,0.076737891
1911.1452947_150.16357,0.748562286,0.08351261,0,0,0,0.167925103
1911.1452947_250.16357,0.708624307,0.092569345,0,0,0.094422646,0.104383702
1911.1452947_350.16357,0.705567137,0.082739116,0,0.065557978,0,0.146135769
1911.1452947_450.16357,0.541412843,0.127422556,0,0.082487477,0,0.248677125
1911.1452947_50.16357,0.632954936,0,0,0.087648785,0.221377637,0.058018641
1911.1452947_550.16357,0.590926394,0,0,0.09958342,0.128419962,0.181070224
1911.1452947_650.16357,0.376539146,0.116994391,0,0.179265055,0,0.327201408
1911.1452947_750.16357,0.525459156,0,0,0,0.056680257,0.417860587
1911.1452947_850.16357,0.069240568,0.269990684,0,0,0.421350328,0.23941842
1911.1452947_950.16357,0,0,0,0.300768605,0,0.699231395
2011.1452947_-149.83643,0.865732657,0,0,0.134267343,0,0
2011.1452947_-249.83643,0.923232134,0,0,0,0,0.076767866
2011.1452947_-349.83643,0.781700648,0,0,0,0,0.218299352
2011.1452947_-449.83643,0.639690708,0.123290327,0.123966889,0,0,0.113052076
2011.1452947_-49.83643,0.732124901,0.102346967,0,0.052164099,0.113364033,0
2011.1452947_-549.83643,0.420699723,0.10085409,0,0.129784093,0.348662093,0
2011.1452947_150.16357,0.780640929,0.117771628,0,0,0.101587443,0
2011.1452947_250.16357,0.728537382,0,0,0.0796759,0.06745206,0.124334657
2011.1452947_350.16357,0.618048603,0.164174123,0,0,0,0.217777274
2011.1452947_450.16357,0.777054967,0,0,0,0,0.222945033
2011.1452947_50.16357,0.708217043,0.070871463,0.155775863,0,0.065135631,0
2011.1452947_550.16357,0.536972107,0,0,0.147240565,0,0.315787327
2011.1452947_650.16357,0.381001067,0.178798628,0,0.077436987,0,0.362763318
2011.1452947_750.16357,0.099622403,0.347465834,0.095844575,0,0.286383453,0.170683735
2011.1452947_850.16357,0.127977282,0.260050413,0,0,0.172791458,0.439180847
2011.1452947_950.16357,0.068036751,0.106602223,0.098227671,0,0.14450631,0.582627046
2111.1452947_-149.83643,0.67631371,0.183668476,0,0.079220107,0,0.060797707
2111.1452947_-249.83643,0.662572021,0,0,0,0,0.337427979
2111.1452947_-349.83643,0.580266933,0.302490549,0,0,0,0.117242518
2111.1452947_-449.83643,0.365377829,0.42320285,0.15478283,0,0,0.05663649
2111.1452947_-49.83643,0.741527557,0.145900891,0,0,0,0.112571552
2111.1452947_-549.83643,0.454783674,0.269815757,0,0.097535903,0,0.177864666
2111.1452947_150.16357,0.582031945,0.173392278,0.244575777,0,0,0
2111.1452947_250.16357,0.908411115,0.091588885,0,0,0,0
2111.1452947_350.16357,0.853080979,0,0,0,0.069645587,0.077273434
2111.1452947_450.16357,0.654094005,0.090599434,0,0,0.069964106,0.185342454
2111.1452947_50.16357,0.695088021,0.120548814,0.184363165,0,0,0
2111.1452947_550.16357,0.593047389,0,0,0.122922583,0.182344979,0.10168505
2111.1452947_650.16357,0.58513819,0.195381658,0,0,0,0.219480152
2111.1452947_750.16357,0.261014191,0.240337571,0,0,0,0.498648238
2111.1452947_850.16357,0,0,0.084275047,0.09662562,0.694030887,0.125068446
2111.1452947_950.16357,0,0.088502918,0.208078662,0,0.70341842,0
2211.1452947_-149.83643,0.524565057,0.415247675,0,0,0,0.060187268
2211.1452947_-249.83643,0.362930089,0,0,0.240325223,0.180618666,0.216126022
2211.1452947_-349.83643,0.538307952,0,0.056343769,0,0,0.405348279
2211.1452947_-449.83643,0.358558339,0.324690901,0,0,0,0.31675076
2211.1452947_-49.83643,0.507246164,0.226150587,0,0.065068797,0,0.201534452
2211.1452947_-549.83643,0.324806878,0,0,0.120914024,0,0.554279099
2211.1452947_150.16357,0.720983349,0,0.134685925,0,0,0.144330726
2211.1452947_250.16357,0.642970606,0.286843272,0,0.070186122,0,0
2211.1452947_350.16357,0.69802714,0.087831284,0.076202224,0,0.137939351,0
2211.1452947_450.16357,0.769164975,0.073411952,0,0,0,0.157423073
2211.1452947_50.16357,0.709533359,0.112850435,0.098827696,0,0.07878851,0
2211.1452947_550.16357,0.854451954,0,0,0,0,0.145548046
2211.1452947_650.16357,0.75615016,0.077044075,0,0,0,0.166805765
2211.1452947_750.16357,0.690045253,0.137545358,0,0,0,0.172409389
2211.1452947_850.16357,0,0,0.08358808,0,0.796126951,0.120284969
2211.1452947_950.16357,0,0.059301956,0,0,0.940698044,0
2311.1452947_-149.83643,0.403507274,0.378562127,0,0,0,0.217930599
2311.1452947_-249.83643,0.248174188,0.180012437,0,0,0.265518647,0.306294727
2311.1452947_-349.83643,0.234694057,0,0,0,0,0.765305943
2311.1452947_-449.83643,0.229925979,0,0,0.173388673,0,0.596685348
2311.1452947_-49.83643,0.429773719,0.165470154,0,0,0.125212084,0.279544043
2311.1452947_-549.83643,0.137136724,0.470836089,0.093610705,0.056709951,0,0.241706531
2311.1452947_150.16357,0.266274015,0.52484416,0,0,0,0.208881826
2311.1452947_250.16357,0.472972411,0.082364068,0.064469433,0.137248094,0.131421759,0.111524236
2311.1452947_350.16357,0.714042458,0.078348765,0.099174218,0,0,0.108434559
2311.1452947_450.16357,0.582017626,0,0.066380159,0,0.270644122,0.080958094
2311.1452947_50.16357,0.599278893,0.112534061,0.154045664,0,0,0.134141382
2311.1452947_550.16357,0.756147628,0,0,0,0.129437873,0.114414498
2311.1452947_650.16357,0.758405679,0,0,0.178007755,0,0.063586566
2311.1452947_750.16357,1,0,0,0,0,0
2311.1452947_850.16357,0.312446035,0.263143438,0,0,0.171123728,0.2532868
2311.1452947_950.16357,0,0.171166659,0,0.201842106,0.210410565,0.41658067
2411.1452947_-149.83643,0.286683107,0,0,0.106387499,0.206157738,0.400771657
2411.1452947_-249.83643,0.32155444,0.057036679,0.079969329,0,0.119849526,0.421590026
2411.1452947_-349.83643,0.172080923,0.460368152,0.092792979,0,0,0.274757945
2411.1452947_-449.83643,0.313264148,0,0,0.24378214,0,0.442953712
2411.1452947_-49.83643,0.317231261,0,0,0,0.434567495,0.248201244
2411.1452947_-549.83643,0.121467283,0.232325431,0,0,0.588469883,0.057737404
2411.1452947_150.16357,0.485776104,0.144774139,0.085860581,0,0.211273965,0.072315212
2411.1452947_250.16357,0.730069282,0,0.140307419,0,0,0.129623299
2411.1452947_350.16357,0.415912484,0,0,0,0.358486345,0.22560117
2411.1452947_450.16357,0.176497964,0.770982449,0,0.052519587,0,0
2411.1452947_50.16357,0.570190652,0,0.177828079,0,0.11273301,0.139248258
2411.1452947_550.16357,0.929948789,0,0,0.070051211,0,0
2411.1452947_650.16357,0.436187962,0.211721348,0.073882272,0.278208418,0,0
2411.1452947_750.16357,0.870887739,0,0,0,0,0.129112261
2411.1452947_850.16357,0.909893336,0,0,0,0,0.090106664
2411.1452947_950.16357,0.425165155,0.574834845,0,0,0,0
911.1452947_-149.83643,0.080047412,0.420040151,0.120086996,0.079727826,0.190066576,0.110031039
911.1452947_-249.83643,0.236825817,0.455182437,0.133933239,0,0.069322485,0.104736022
911.1452947_-349.83643,0.369392304,0.381336471,0,0,0,0.249271225
911.1452947_-449.83643,0.132804461,0.314542857,0.13008359,0,0.094168394,0.328400697
911.1452947_-49.83643,0.348761407,0.462504506,0,0,0,0.188734087
911.1452947_-549.83643,0.191213137,0.100090412,0,0,0.107890229,0.600806222
911.1452947_150.16357,0.485447194,0.148361054,0,0.141057524,0,0.225134229
911.1452947_250.16357,0.687329255,0.056335786,0.095519073,0,0,0.160815886
911.1452947_350.16357,0.49132595,0.079427642,0,0.207859499,0,0.22138691
911.1452947_450.16357,0.304989241,0.441715867,0,0.178272899,0.075021994,0
911.1452947_50.16357,0.571108198,0.142570539,0,0.147607307,0,0.138713956
911.1452947_550.16357,0.592004458,0.31110568,0,0.096889862,0,0
911.1452947_650.16357,0.549635842,0.214716371,0,0.120943479,0,0.114704309
911.1452947_750.16357,0.771809384,0,0,0.117511878,0.057225144,0.053453594
911.1452947_850.16357,0.772707035,0,0,0.124253227,0.103039738,0
911.1452947_950.16357,0.859418364,0,0,0,0,0.140581636
-1858.421126_-1496.041291,0.082037117,0,0,0,0.736705115,0.181257769
-1858.421126_-1596.041291,0.078482853,0.118220847,0,0.11494513,0.386870191,0.301480979
-1858.421126_-1696.041291,0.111775223,0.244358687,0,0,0.392012204,0.251853886
-1858.421126_-1796.041291,0.20902194,0.44002481,0,0,0,0.350953249
-1858.421126_-1896.041291,0.223589744,0.064123196,0.176180102,0.115357144,0,0.420749814
-1858.421126_-1996.041291,0.360552921,0.180644054,0,0,0.140000783,0.318802242
-1858.421126_-2096.041291,0.368358593,0,0,0.262721117,0.196407659,0.17251263
-1858.421126_-2196.041291,0.526152124,0.389007621,0,0,0,0.084840255
-1858.421126_-2296.041291,0.288857455,0.100584747,0.131681276,0.054931942,0.127907963,0.296036617
-1858.421126_-2396.041291,0.2458585,0.153272244,0.143644548,0.127848726,0.147625128,0.181750854
-1858.421126_-2496.041291,0.065581145,0.426996276,0.218971576,0,0,0.288451004
-1858.421126_-2596.041291,0.300671278,0.113378444,0,0,0.281865623,0.304084655
-1858.421126_-2696.041291,0.298773099,0.328678557,0,0,0.099752386,0.272795958
-1858.421126_-2796.041291,0.190324155,0.179744008,0,0,0.362815722,0.267116115
-1858.421126_-2896.041291,0.313254705,0,0,0,0.248473582,0.438271714
-1858.421126_-2996.041291,0.252307948,0.223632893,0.066912704,0.128204367,0.111920295,0.217021793
-1958.421126_-1496.041291,0.057134797,0.124563925,0,0.21564194,0.337611859,0.26504748
-1958.421126_-1596.041291,0,0.056311014,0,0,0.943688986,0
-1958.421126_-1696.041291,0,0.067766624,0,0,0.932233376,0
-1958.421126_-1796.041291,0,0.358746596,0.266551968,0,0.250832536,0.123868901
-1958.421126_-1896.041291,0.15900801,0.433787102,0,0,0,0.407204888
-1958.421126_-1996.041291,0.352816867,0.187868518,0,0,0,0.459314615
-1958.421126_-2096.041291,0.430219275,0.384883349,0,0.184897377,0,0
-1958.421126_-2196.041291,0.436876996,0,0.138014604,0,0.2065856,0.2185228
-1958.421126_-2296.041291,0.643633871,0,0,0.09532725,0.084313092,0.176725787
-1958.421126_-2396.041291,0.348329418,0,0,0.128560621,0.195291236,0.327818724
-1958.421126_-2496.041291,0.143135259,0.340372499,0.112410575,0.099610829,0.101697484,0.202773353
-1958.421126_-2596.041291,0.353054958,0,0.053484594,0.118146236,0,0.475314212
-1958.421126_-2696.041291,0.171793474,0.236227238,0.08355732,0.119580923,0.099481382,0.289359663
-1958.421126_-2796.041291,0.371856423,0.21718793,0.080179919,0.050568466,0.145814265,0.134392997
-1958.421126_-2896.041291,0.202113582,0.143016284,0,0.17074717,0.184001761,0.300121203
-1958.421126_-2996.041291,0.566367371,0.077837901,0,0,0,0.355794728
-2058.421126_-1496.041291,0.189332372,0.148508585,0,0,0.257378204,0.404780839
-2058.421126_-1596.041291,0,0,0,0,0.939895941,0.060104059
-2058.421126_-1696.041291,0,0,0.055173157,0,0.944826843,0
-2058.421126_-1796.041291,0.19039231,0,0,0.081675166,0.499708477,0.228224047
-2058.421126_-1896.041291,0.493593286,0.073515322,0.060316966,0,0.263769163,0.108805263
-2058.421126_-1996.041291,0.633262369,0.151788662,0,0.104246029,0,0.11070294
-2058.421126_-2096.041291,0.387972586,0.361363086,0,0.060126195,0,0.190538133
-2058.421126_-2196.041291,0.260151571,0.252879254,0.408646273,0,0,0.078322902
-2058.421126_-2296.041291,0.592923643,0,0,0.094590293,0,0.312486064
-2058.421126_-2396.041291,0.17385087,0,0.377048002,0.191401861,0.077968907,0.179730359
-2058.421126_-2496.041291,0.274839371,0,0.15731808,0,0.297360795,0.270481754
-2058.421126_-2596.041291,0.398794575,0.160351589,0.117479948,0,0,0.323373888
-2058.421126_-2696.041291,0.612067779,0,0,0.078820088,0.165741713,0.14337042
-2058.421126_-2796.041291,0.462497932,0.129265028,0.059058746,0.10640133,0.116096559,0.126680405
-2058.421126_-2896.041291,0.794611933,0.076906168,0,0,0,0.128481898
-2058.421126_-2996.041291,0.432297134,0,0,0,0.122874303,0.444828564
-2158.421126_-1496.041291,0.056368107,0.158383401,0.181171478,0.086334213,0,0.517742801
-2158.421126_-1596.041291,0.06205545,0.239714082,0,0,0.370182159,0.328048309
-2158.421126_-1696.041291,0,0,0.063704482,0,0.618145097,0.318150421
-2158.421126_-1796.041291,0.223309008,0.206140028,0.080592169,0.093931433,0.147570311,0.248457052
-2158.421126_-1896.041291,0.37032793,0.183532873,0.074602319,0.058985297,0.187259212,0.125292369
-2158.421126_-1996.041291,0.871959282,0,0,0.128040718,0,0
-2158.421126_-2096.041291,0.667933291,0,0,0.052154802,0,0.279911908
-2158.421126_-2196.041291,0.441170791,0.132601503,0,0.178441388,0.119901057,0.127885261
-2158.421126_-2296.041291,0.594251203,0.054243059,0.092518173,0,0,0.258987565
-2158.421126_-2396.041291,0.151152551,0.481224204,0,0.054310959,0.157932003,0.155380283
-2158.421126_-2496.041291,0.318499584,0.091558172,0,0.155609234,0.175004638,0.259328372
-2158.421126_-2596.041291,0.783094879,0,0.135600295,0.081304826,0,0
-2158.421126_-2696.041291,0.609449087,0,0.129570628,0.132162664,0.128817622,0
-2158.421126_-2796.041291,0.729962962,0.12327802,0,0.095250258,0,0.051508761
-2158.421126_-2896.041291,0.687181498,0.242608754,0,0.070209748,0,0
-2158.421126_-2996.041291,0.384743667,0,0,0.144746074,0.144494079,0.32601618
-2258.421126_-1496.041291,0,0,0,0.106614535,0.136278936,0.757106529
-2258.421126_-1596.041291,0.066817774,0.198445068,0.09080878,0,0.230206084,0.413722294
-2258.421126_-1696.041291,0.077904106,0.183264262,0,0.079929948,0,0.658901684
-2258.421126_-1796.041291,0,0.193230151,0,0.254391722,0,0.552378127
-2258.421126_-1896.041291,0.578167325,0.118871513,0,0,0.08115213,0.221809032
-2258.421126_-1996.041291,0.548728132,0.268235643,0,0,0,0.183036225
-2258.421126_-2096.041291,0.62232923,0,0.086445246,0.291225524,0,0
