,Astrocyte,Endothelial,Inhibitory,Microglia,OD,Excitatory,Others_cellf
2579.730793_3330.950073,0.004992222,0.003694648,3.87E-05,0.019851279,0.06589989,0.5041506,0.4013726
2579.730793_3430.950073,0.000864592,0.011637074,3.32E-05,0.007317502,0.16102257,0.35502023,0.46410474
2579.730793_3530.950073,0.006625725,0.003659494,1.14E-05,0.001801191,0.099052474,0.56552404,0.32332566
2579.730793_3630.950073,0.000765689,0.003578063,2.46E-05,0.003181007,0.13553302,0.4560197,0.40089798
2579.730793_3730.950073,0.03038674,0.033874623,5.38E-05,0.004380529,0.19056834,0.31558478,0.4251512
2579.730793_3830.950073,0.001101752,0.003047891,1.39E-05,0.006128996,0.16340809,0.45832324,0.36797607
2579.730793_3930.950073,0.005196434,0.013625796,3.01E-05,0.008437095,0.17149937,0.37576377,0.42544737
2579.730793_4030.950073,0.003995644,0.012409977,0.000238509,0.003251845,0.04664234,0.4990865,0.4343752
2579.730793_4130.950073,0.012154088,0.002574849,4.42E-05,0.002418876,0.053424668,0.64198655,0.28739673
2579.730793_4230.950073,0.003962118,0.007474904,1.26E-05,0.003379464,0.13979743,0.5263642,0.31900927
2679.730793_2730.950073,0.020468667,0.043351788,5.37E-05,0.02433116,0.12691315,0.44397163,0.34090996
2679.730793_2830.950073,0.003248298,0.01503303,1.95E-05,0.006807547,0.17000088,0.45136148,0.3535293
2679.730793_2930.950073,0.002592881,0.030209318,2.90E-05,0.009633852,0.21312098,0.31626934,0.42814463
2679.730793_3030.950073,0.002459189,0.031954404,2.01E-05,0.00790265,0.20837519,0.32661295,0.42267558
2679.730793_3130.950073,0.005361211,0.001704803,2.45E-05,0.001837038,0.18812938,0.40080908,0.402134
2679.730793_3230.950073,0.013642385,0.025633741,1.70E-05,0.010187628,0.1458969,0.38540474,0.41921756
2679.730793_3330.950073,0.006706137,0.002656618,4.79E-05,0.002565413,0.08527405,0.5358834,0.3668665
2679.730793_3430.950073,0.002544934,0.026071437,1.52E-05,0.01574606,0.13916157,0.32947177,0.48698914
2679.730793_3530.950073,0.001184767,0.008652403,4.43E-05,0.008691202,0.043361355,0.5497602,0.38830575
2679.730793_3630.950073,0.000561025,0.001296331,1.51E-05,0.001648216,0.10871906,0.5424628,0.3452974
2679.730793_3730.950073,0.001927443,0.004286581,1.88E-05,0.003541815,0.081915006,0.5503077,0.3580027
2679.730793_3830.950073,0.001860486,0.006982354,2.39E-05,0.00256288,0.095123,0.4898765,0.4035709
2679.730793_3930.950073,0.076162785,0.07173978,6.70E-05,0.007694449,0.10495589,0.41692755,0.32245252
2679.730793_4030.950073,0.001516325,0.006795911,2.15E-05,0.008228548,0.06215713,0.56778014,0.3535005
2679.730793_4130.950073,0.00429106,0.019388886,2.15E-05,0.007712679,0.0629645,0.60378814,0.30183333
2679.730793_4230.950073,0.00257167,0.011996789,1.88E-05,0.004917467,0.081353605,0.5441308,0.35501096
-2291.755065_-151.4568705,0.017880332,0.057103526,2.97E-05,0.012726735,0.22165681,0.3095424,0.38106057
-2291.755065_-51.4568705,0.000534432,0.00779369,8.51E-06,0.002157907,0.21386549,0.4328651,0.3427749
-2291.755065_1048.5431295,0.001987311,0.005178891,2.04E-05,0.003204711,0.062322203,0.6121985,0.315088
-2291.755065_1148.5431295,0.002817557,0.013322298,2.22E-05,0.006452217,0.106701866,0.5075086,0.36317527
-2291.755065_1248.5431295,0.000810637,0.003522109,1.57E-05,0.001328942,0.090029456,0.60587686,0.29841638
-2291.755065_1348.5431295,0.032784756,0.00505072,0.000183715,0.001564687,0.05223959,0.61269325,0.29548338
-2291.755065_148.5431295,0.011082931,0.05816652,4.56E-05,0.010574101,0.20155595,0.31825575,0.40031913
-2291.755065_248.5431295,0.001967943,0.012393737,4.43E-05,0.014615959,0.19015828,0.28128475,0.49953505
-2291.755065_348.5431295,0.035785355,0.012790571,8.41E-05,0.003795306,0.3206048,0.28671578,0.3402241
-2291.755065_448.5431295,0.000805282,0.001362592,2.28E-05,0.002019412,0.107499205,0.57887316,0.30941752
-2291.755065_48.5431295,0.00302388,0.012028065,1.19E-05,0.022500252,0.10835618,0.4842175,0.36986223
-2291.755065_548.5431295,0.002853684,0.001711899,0.000191077,0.001793127,0.11222414,0.53209466,0.34913144
-2291.755065_648.5431295,0.002126693,0.013056466,1.51E-05,0.008705031,0.15830418,0.4164213,0.40137127
-2291.755065_748.5431295,0.001314831,0.010622018,1.55E-05,0.004579546,0.14700742,0.44144863,0.3950121
-2291.755065_848.5431295,0.004136508,0.007419414,7.44E-06,0.006240785,0.1073701,0.5006059,0.3742199
-2291.755065_948.5431295,0.004924685,0.010755925,4.58E-05,0.002417131,0.12184012,0.5106128,0.34940353
-2391.755065_-151.4568705,0.001898714,0.018648917,7.70E-06,0.00461591,0.23856816,0.29616112,0.44009945
-2391.755065_-51.4568705,0.010247795,0.002240492,7.26E-05,0.002217337,0.078376904,0.5597122,0.3471327
-2391.755065_1048.5431295,0.011300678,0.017513467,0.000202582,0.002454772,0.050005946,0.5449186,0.37360385
-2391.755065_1148.5431295,0.043526057,0.002120369,0.000372225,0.005045512,0.048979145,0.55543983,0.34451687
-2391.755065_1248.5431295,0.002813623,0.026166817,3.65E-05,0.007755549,0.10684887,0.4732407,0.38313797
-2391.755065_1348.5431295,0.002394735,0.005140633,2.57E-05,0.001812327,0.09221113,0.5292355,0.36918002
-2391.755065_148.5431295,0.003429779,0.020197244,1.36E-05,0.01604507,0.13486835,0.38678128,0.43866476
-2391.755065_248.5431295,0.00017788,0.011047864,1.10E-05,0.01057164,0.14838672,0.44571242,0.38409248
-2391.755065_348.5431295,0.000533275,0.003161418,2.51E-05,0.003101244,0.091480106,0.5252427,0.37645617
-2391.755065_448.5431295,0.001737692,0.01633661,6.43E-06,0.005773536,0.14234407,0.5045967,0.329205
-2391.755065_48.5431295,0.001401466,0.001738194,9.19E-05,0.001324922,0.0812799,0.56231195,0.3518516
-2391.755065_548.5431295,0.003722244,0.016925985,1.22E-05,0.008362715,0.090218045,0.4745977,0.4061611
-2391.755065_648.5431295,0.002572164,0.011743569,1.57E-05,0.004662662,0.09178074,0.5254826,0.36374253
-2391.755065_748.5431295,0.001723595,0.01201888,2.17E-05,0.005351202,0.122919984,0.44385874,0.41410592
-2391.755065_848.5431295,0.008617514,0.047846254,1.46E-05,0.010205799,0.1379346,0.44399327,0.35138804
-2391.755065_948.5431295,0.014529206,0.02705406,0.00035952,0.00422695,0.046029687,0.4768364,0.43096414
-2491.755065_-151.4568705,0.000946251,0.006008495,0.00010088,0.009172884,0.0848898,0.43570846,0.46317318
-2491.755065_-51.4568705,0.000415128,0.00211061,5.29E-05,0.001803413,0.07961624,0.544205,0.37179667
-2491.755065_1048.5431295,0.002276757,0.014381613,2.05E-05,0.008304707,0.10559907,0.49221924,0.37719807
-2491.755065_1148.5431295,0.025602754,0.041783385,1.46E-05,0.010918121,0.07660653,0.5710665,0.27400804
-2491.755065_1248.5431295,0.000366251,0.018111242,2.26E-05,0.00602183,0.23100221,0.3090255,0.43545035
-2491.755065_1348.5431295,0.023276335,0.051775385,0.000428896,0.011774776,0.36980772,0.13644028,0.40649658
-2491.755065_148.5431295,0.002979372,0.024157977,2.47E-05,0.004066906,0.12777431,0.43562207,0.40537468
-2491.755065_248.5431295,0.0036481,0.034263734,1.03E-05,0.01317211,0.09618143,0.47475514,0.37796915
-2491.755065_348.5431295,0.000973701,0.019280726,1.14E-05,0.005846252,0.20612344,0.37042442,0.39734003
-2491.755065_448.5431295,0.000503076,0.002867882,1.02E-05,0.00250339,0.13769646,0.5237011,0.33271787
-2491.755065_48.5431295,0.010388064,0.0394325,2.05E-05,0.003505729,0.05151671,0.6105675,0.2845689
-2491.755065_548.5431295,0.001964193,0.006218555,1.83E-05,0.002490897,0.08393368,0.5239815,0.38139287
-2491.755065_648.5431295,0.003865683,0.014239323,4.60E-05,0.005574454,0.075685725,0.42273387,0.4778549
-2491.755065_748.5431295,0.011442474,0.001437732,0.000201072,0.002610498,0.1144713,0.47204825,0.3977886
-2491.755065_848.5431295,0.005362778,0.002449991,0.000108809,0.003486593,0.0848003,0.5552737,0.34851778
-2491.755065_948.5431295,0.001906901,0.017036853,3.43E-05,0.006704703,0.08669658,0.5276582,0.3599624
-2591.755065_-151.4568705,0.005923945,0.005942405,0.000109443,0.003247591,0.13151197,0.47001103,0.38325363
-2591.755065_-51.4568705,0.02796565,0.047309715,0.000112546,0.004051727,0.10771462,0.43007642,0.38276926
-2591.755065_1048.5431295,0.001786934,0.011239911,1.78E-05,0.004061597,0.1064483,0.5615809,0.31486464
-2591.755065_1148.5431295,0.006516506,0.048363116,1.91E-05,0.015962584,0.24791628,0.28382114,0.39740124
-2591.755065_1248.5431295,0.00283297,0.014349253,7.56E-05,0.003726312,0.24247532,0.28946897,0.4470715
-2591.755065_1348.5431295,0.028953904,0.010701458,0.000605597,0.001625397,0.31190377,0.32336307,0.32284674
-2591.755065_148.5431295,0.001000867,0.012197631,7.02E-06,0.006682386,0.15913548,0.428787,0.39218962
-2591.755065_248.5431295,0.002797007,0.009309056,6.58E-05,0.003412473,0.068035685,0.46062016,0.45575985
-2591.755065_348.5431295,0.000894216,0.001266081,1.31E-05,0.000396426,0.078258604,0.6639176,0.2552539
-2591.755065_448.5431295,0.10738844,0.08226129,0.000148431,0.003010466,0.046983667,0.41283435,0.34737343
-2591.755065_48.5431295,0.003139757,0.01372522,2.27E-05,0.004259363,0.18410133,0.3908328,0.40391886
-2591.755065_548.5431295,0.001917584,0.010396233,1.73E-05,0.007320065,0.10357478,0.45579174,0.42098224
-2591.755065_648.5431295,0.004664781,0.028613146,2.42E-05,0.011141809,0.11560584,0.5001283,0.33982193
-2591.755065_748.5431295,0.024709605,0.004668195,0.000165661,0.001643523,0.035693776,0.5477231,0.38539615
-2591.755065_848.5431295,0.008302935,0.001856941,8.98E-05,0.001320139,0.05290685,0.5681331,0.36739022
-2591.755065_948.5431295,0.062359087,0.1075622,0.000279807,0.006515746,0.04950626,0.41974482,0.35403207
-2691.755065_-151.4568705,0.032259516,0.021476336,5.35E-05,0.003696296,0.17209032,0.38547027,0.38495377
-2691.755065_-51.4568705,0.006798631,0.001402838,7.08E-05,0.001218261,0.061084516,0.58920497,0.34022006
-2691.755065_1048.5431295,0.000891893,0.005956085,8.22E-06,0.003691085,0.1398148,0.41201314,0.43762472
-2691.755065_1148.5431295,0.00891969,0.03371367,1.29E-05,0.008148414,0.14332964,0.42683443,0.37904114
-2691.755065_1248.5431295,0.004271822,0.022917503,1.60E-05,0.007641732,0.22791317,0.32187474,0.41536507
-2691.755065_1348.5431295,0.02357478,0.04346893,9.97E-05,0.004135347,0.2770662,0.30144754,0.3502075
-2691.755065_148.5431295,0.000477283,0.003552823,1.21E-05,0.00664773,0.13135451,0.44787785,0.41007772
-2691.755065_248.5431295,0.000966913,0.006091545,1.23E-05,0.002655391,0.15930383,0.46747658,0.36349338
-2691.755065_348.5431295,0.005859233,0.003391353,3.03E-05,0.002012895,0.053052858,0.61259013,0.3230633
-2691.755065_448.5431295,0.028282285,0.027976796,3.87E-05,0.005065389,0.05245772,0.51715004,0.36902907
-2691.755065_48.5431295,0.008857233,0.019596731,4.29E-05,0.003579142,0.058123514,0.58060175,0.32919863
-2691.755065_548.5431295,0.010902193,0.027958505,7.14E-05,0.004201063,0.09771423,0.47675386,0.38239884
-2691.755065_648.5431295,0.06672824,0.058399364,0.000390164,0.00374159,0.047081906,0.41446388,0.4091948
-2691.755065_748.5431295,0.007847707,0.029935945,2.25E-05,0.007731737,0.08234782,0.5078512,0.36426312
-2691.755065_848.5431295,0.001402127,0.002600945,2.44E-05,0.002852414,0.040564425,0.62420624,0.32834935
-2691.755065_948.5431295,0.004556148,0.020424064,9.76E-05,0.007220316,0.055696495,0.5434135,0.36859185
-2791.755065_-151.4568705,0.011478988,0.03573764,0.000236906,0.005319343,0.06770115,0.38826624,0.49125975
-2791.755065_-51.4568705,0.001168645,0.005372217,2.46E-05,0.004316245,0.05831952,0.5724062,0.35839263
-2791.755065_1048.5431295,0.001830119,0.005990305,1.38E-05,0.005111685,0.14327535,0.45610508,0.38767368
-2791.755065_1148.5431295,0.008683193,0.005437303,4.40E-05,0.004630628,0.07482191,0.47529635,0.4310867
-2791.755065_1248.5431295,0.002441241,0.002337101,7.93E-06,0.002917194,0.09734577,0.5622309,0.33271995
-2791.755065_1348.5431295,0.017968481,0.023818145,3.09E-05,0.009872617,0.25660658,0.33242297,0.3592804
-2791.755065_148.5431295,0.01161145,0.033228,0.000105968,0.006958656,0.063283764,0.4904676,0.3943446
-2791.755065_248.5431295,0.004117255,0.004872002,8.29E-05,0.001499443,0.036444876,0.5790743,0.37390915
-2791.755065_348.5431295,0.00826327,0.008968964,9.15E-05,0.004615906,0.14642544,0.40559843,0.42603654
-2791.755065_448.5431295,0.003012539,0.00130063,0.000147887,0.001941641,0.10914943,0.52339804,0.36104986
-2791.755065_48.5431295,0.011520742,0.005252197,0.000118225,0.001305658,0.056158327,0.5759283,0.34971663
-2791.755065_548.5431295,0.013085997,0.02749356,0.000160284,0.006795635,0.08973135,0.37569627,0.4870369
-2791.755065_648.5431295,0.017880226,0.016991263,5.85E-05,0.003736179,0.09815902,0.4207365,0.44243833
-2791.755065_748.5431295,0.020074705,0.000862513,0.000172614,0.001501946,0.08190649,0.5047598,0.39072198
-2791.755065_848.5431295,0.006292778,0.049737856,1.00E-05,0.010598048,0.1544944,0.4208983,0.35796857
-2791.755065_948.5431295,0.010426938,0.027514629,0.000120582,0.009856532,0.120357186,0.347255,0.48446918
-2891.755065_-151.4568705,0.001690081,0.003040694,5.86E-06,0.001857172,0.0732445,0.59713066,0.32303104
-2891.755065_-51.4568705,0.012662103,0.015748318,5.33E-05,0.004501795,0.09515364,0.46116653,0.41071436
-2891.755065_1048.5431295,0.033641335,0.002625436,0.000158013,0.005845162,0.06368146,0.53702974,0.35701883
-2891.755065_1148.5431295,0.042736243,0.0475295,2.68E-05,0.02216739,0.111747526,0.49774542,0.2780472
-2891.755065_1248.5431295,0.0538426,0.017295081,8.44E-05,0.016465152,0.1425562,0.45304927,0.31670725
-2891.755065_1348.5431295,0.002351906,0.011594203,1.10E-05,0.005232537,0.13790146,0.6026969,0.24021189
-2891.755065_148.5431295,0.012842771,0.003614337,3.33E-05,0.004252037,0.04386126,0.62646943,0.30892685
-2891.755065_248.5431295,0.011085375,0.019572701,0.00010452,0.004281172,0.06562848,0.48631155,0.4130162
-2891.755065_348.5431295,0.032157697,0.026657775,6.01E-05,0.002794164,0.054905448,0.54845214,0.33497268
-2891.755065_448.5431295,0.001652842,0.010648894,1.04E-05,0.00337645,0.059666075,0.60754055,0.31710482
-2891.755065_48.5431295,0.010082368,0.005225159,7.21E-05,0.001738129,0.047481164,0.55437243,0.3810287
-2891.755065_548.5431295,0.005747751,0.015148066,1.15E-05,0.005846154,0.119125254,0.45033717,0.40378407
-2891.755065_648.5431295,0.006913157,0.042773698,2.60E-05,0.00373723,0.088251375,0.46431935,0.39397913
-2891.755065_748.5431295,0.001729453,0.006723137,1.03E-05,0.003518683,0.09860582,0.5142224,0.37519017
-2891.755065_848.5431295,0.056825105,0.08368641,3.35E-05,0.020393902,0.08265033,0.36607647,0.3903342
-2891.755065_948.5431295,0.004883502,0.026390117,6.16E-06,0.005233062,0.1274315,0.49794188,0.33811378
-2991.755065_-151.4568705,0.22025359,0.038350713,1.17E-05,0.001020517,0.08338089,0.42607573,0.23090686
-2991.755065_-51.4568705,0.004500872,0.009698851,0.000116275,0.015163338,0.120378986,0.30093017,0.5492115
-2991.755065_1048.5431295,0.87874687,0.001912031,4.69E-05,0.003568093,0.017192647,0.01630876,0.08222475
-2991.755065_1148.5431295,0.8715863,0.00168645,2.36E-05,0.000642107,0.014135348,0.027839433,0.08408669
-2991.755065_1248.5431295,0.056646474,0.17022437,0.00013645,0.000339561,0.04559858,0.4187429,0.3083117
-2991.755065_1348.5431295,0.051367614,0.072658665,1.04E-05,0.00990839,0.088975,0.59426165,0.18281826
-2991.755065_148.5431295,0.006801854,0.016415372,1.05E-05,0.00454415,0.07690592,0.53367245,0.36164975
-2991.755065_248.5431295,0.003139143,0.006442477,1.13E-05,0.014646851,0.1138314,0.4624744,0.39945436
-2991.755065_348.5431295,0.003798952,0.005425806,8.63E-06,0.007033242,0.09171043,0.5288598,0.3631631
-2991.755065_448.5431295,0.006265983,0.019282343,1.21E-05,0.003521418,0.10649839,0.51653975,0.34788
-2991.755065_48.5431295,0.003419184,0.032149836,1.46E-05,0.00637039,0.15771246,0.40832403,0.39200947
-2991.755065_548.5431295,0.007829852,0.03889024,2.89E-05,0.027253974,0.10213656,0.38025647,0.44360402
-2991.755065_648.5431295,0.012054599,0.011301233,1.26E-05,0.003323733,0.110263005,0.49751344,0.36553138
-2991.755065_748.5431295,0.269106,0.06280969,9.54E-05,0.014280877,0.076995805,0.2481206,0.32859153
-2991.755065_848.5431295,0.43434018,0.10984339,5.09E-05,0.015335008,0.056181747,0.18411645,0.20013219
-2991.755065_948.5431295,0.041973073,0.002680885,1.72E-05,0.01947112,0.095026456,0.63846284,0.20236838
-3091.755065_-151.4568705,0.000792858,0.007982734,7.91E-06,0.004262264,0.09373503,0.5222397,0.37097946
-3091.755065_-51.4568705,0.001216492,0.014033812,1.53E-05,0.006369346,0.15530977,0.37159136,0.45146394
-3091.755065_1048.5431295,0.2272648,0.006638484,2.59E-05,0.014179124,0.08957044,0.40342912,0.2588921
-3091.755065_1148.5431295,0.62117004,0.1659335,0.000150964,0.0019769,0.067849524,0.029093191,0.11382578
-3091.755065_1248.5431295,0.77817893,0.048464686,2.80E-06,0.003223783,0.04540516,0.021426918,0.103297725
-3091.755065_1348.5431295,0.065281115,0.08260231,4.27E-06,0.012961709,0.0914776,0.5200616,0.22761145
-3091.755065_148.5431295,0.011641409,0.024739966,5.47E-05,0.004972416,0.10486041,0.49106395,0.36266705
-3091.755065_248.5431295,0.009866337,0.01040675,2.15E-05,0.001454266,0.1224613,0.52562416,0.3301657
-3091.755065_348.5431295,0.002508204,0.024607448,2.08E-05,0.009847388,0.09908915,0.48281687,0.3811102
-3091.755065_448.5431295,0.002742769,0.010155445,1.93E-05,0.012166108,0.107302085,0.40181166,0.46580273
-3091.755065_48.5431295,0.023247078,0.006845972,2.55E-05,0.002157457,0.0710562,0.5181149,0.37855285
-3091.755065_548.5431295,0.001548544,0.007310022,3.46E-05,0.007678699,0.071660526,0.48645115,0.42531642
-3091.755065_648.5431295,0.002404084,0.008270144,1.93E-05,0.006423594,0.10631909,0.4760122,0.4005515
-3091.755065_748.5431295,0.005723442,0.006843595,4.21E-05,0.008079111,0.12084885,0.4191484,0.4393145
-3091.755065_848.5431295,0.005728616,0.005142937,5.62E-06,0.0035697,0.097512305,0.5336723,0.35436857
-3091.755065_948.5431295,0.17370649,0.13773331,8.37E-05,0.020575712,0.0447937,0.35258347,0.2705236
-3191.755065_-151.4568705,0.00110262,0.004032078,1.56E-05,0.004212558,0.16155809,0.41881645,0.41026258
-3191.755065_-51.4568705,0.001615759,0.008528305,1.02E-05,0.0046945,0.10198949,0.50575376,0.37740803
-3191.755065_1048.5431295,0.003784947,0.03124128,2.55E-05,0.010163561,0.15645826,0.35530847,0.44301796
-3191.755065_1148.5431295,0.001667445,0.00334805,1.41E-05,0.005266769,0.12989564,0.49073768,0.36907038
-3191.755065_1248.5431295,0.110557005,0.044766493,2.52E-05,0.006814372,0.11179762,0.5352589,0.19078046
-3191.755065_1348.5431295,0.002814224,0.010091906,1.28E-06,0.003413983,0.056421775,0.7271021,0.20015478
-3191.755065_148.5431295,0.002461567,0.005471957,8.59E-05,0.002674971,0.07157902,0.4852641,0.4324625
-3191.755065_248.5431295,0.008844132,0.005231236,4.53E-05,0.006886345,0.052691564,0.5512093,0.37509218
-3191.755065_348.5431295,0.013200611,0.020459294,0.000147667,0.005898858,0.073633604,0.45066676,0.43599328
-3191.755065_448.5431295,0.007478228,0.014598949,7.83E-05,0.002842934,0.074669175,0.46937034,0.4309621
-3191.755065_48.5431295,0.001257404,0.002548938,1.86E-05,0.004902945,0.06360026,0.5768881,0.3507837
-3191.755065_548.5431295,0.000918553,0.004595432,1.55E-05,0.003335697,0.09420451,0.55731696,0.3396133
-3191.755065_648.5431295,0.001565041,0.001791502,1.39E-05,0.001753705,0.08298617,0.58213466,0.329755
-3191.755065_748.5431295,0.010560801,0.005936557,2.11E-05,0.005179157,0.1437212,0.4507486,0.3838325
-3191.755065_848.5431295,0.002567386,0.003695272,9.88E-06,0.002452779,0.1409847,0.56596166,0.28432846
-3191.755065_948.5431295,0.001361814,0.005901085,1.56E-05,0.004240007,0.15808262,0.4606652,0.3697338
-3291.755065_-151.4568705,0.007919538,0.004115688,8.01E-05,0.002350115,0.07669758,0.50620043,0.4026365
-3291.755065_-51.4568705,0.00184606,0.00713884,1.56E-05,0.003048748,0.081084274,0.50822777,0.39863873
-3291.755065_1048.5431295,0.002654557,0.012478893,9.16E-06,0.003441875,0.10754144,0.5143066,0.35956743
-3291.755065_1148.5431295,0.003439633,0.008674645,1.41E-05,0.006568126,0.114266306,0.41728368,0.44975346
-3291.755065_1248.5431295,0.014828535,0.015158736,1.24E-05,0.002775922,0.17135641,0.4606092,0.33525887
-3291.755065_1348.5431295,0.008213187,0.016039621,2.62E-05,0.007002372,0.19417956,0.43757588,0.33696312
-3291.755065_148.5431295,0.006834064,0.029151859,6.43E-05,0.002665735,0.09951384,0.43392646,0.42784375
-3291.755065_248.5431295,0.002509565,0.006575099,3.14E-05,0.00499208,0.08855685,0.44391486,0.45342013
-3291.755065_348.5431295,0.002342393,0.010938971,3.29E-05,0.002572177,0.12503156,0.46036312,0.39871886
-3291.755065_448.5431295,0.002182161,0.009007135,2.39E-05,0.004781208,0.124193594,0.42262873,0.43718332
-3291.755065_48.5431295,0.005486576,0.005785338,9.68E-05,0.001970238,0.05331559,0.5187472,0.41459826
-3291.755065_548.5431295,0.003942709,0.016815415,3.00E-05,0.006069123,0.12796827,0.38729194,0.45788255
-3291.755065_648.5431295,0.002500377,0.003719452,4.33E-05,0.001891675,0.103139885,0.5417157,0.34698963
-3291.755065_748.5431295,0.003148612,0.004295989,3.02E-05,0.001614345,0.14401971,0.49020198,0.3566892
-3291.755065_848.5431295,0.002646372,0.014167811,4.07E-05,0.009383488,0.08973147,0.44770908,0.43632102
-3291.755065_948.5431295,0.000845095,0.004124154,2.58E-05,0.004300185,0.12841727,0.49360937,0.36867812
-3391.755065_-151.4568705,0.001838301,0.021419508,2.85E-05,0.007208008,0.12421027,0.3926609,0.45263463
-3391.755065_-51.4568705,0.006678417,0.004139206,3.39E-05,0.00241409,0.08766081,0.55091166,0.3481619
-3391.755065_1048.5431295,0.002130904,0.003719366,2.24E-05,0.004572811,0.06931997,0.5342791,0.3859555
-3391.755065_1148.5431295,0.006787951,0.012602139,1.57E-05,0.002102023,0.21466117,0.3949916,0.36883953
-3391.755065_1248.5431295,0.006309874,0.008499212,1.59E-05,0.003497158,0.20630498,0.44088098,0.33449185
-3391.755065_1348.5431295,0.036218222,0.065676555,0.000132724,0.006845721,0.28301147,0.33301553,0.2750998
-3391.755065_148.5431295,0.001042838,0.00937674,3.19E-05,0.004292161,0.07429116,0.51389116,0.397074
-3391.755065_248.5431295,0.006606038,0.023933508,1.32E-05,0.004392668,0.08311734,0.53766185,0.34427541
-3391.755065_348.5431295,0.001081593,0.001389481,1.42E-05,0.002655957,0.08014982,0.59971756,0.31499133
-3391.755065_448.5431295,0.000777822,0.003378432,1.05E-05,0.004696258,0.061941087,0.5966877,0.33250827
-3391.755065_48.5431295,0.002222017,0.001222372,2.13E-05,0.000837074,0.06007786,0.6398592,0.29576012
-3391.755065_548.5431295,0.011961103,0.004544316,3.18E-05,0.0024337,0.053820334,0.56809187,0.35911685
-3391.755065_648.5431295,0.001739747,0.006392581,1.36E-05,0.003962026,0.09946424,0.53972906,0.3486987
-3391.755065_748.5431295,0.002792517,0.01388553,2.52E-05,0.008144872,0.09406442,0.43686718,0.44422033
-3391.755065_848.5431295,0.011528254,0.021473954,3.02E-05,0.007502125,0.11456583,0.45353633,0.39136317
-3391.755065_948.5431295,0.002610476,0.015192567,4.10E-05,0.010846757,0.07006906,0.4979543,0.4032859
-3491.755065_-151.4568705,0.056898385,0.042788953,0.000117198,0.002277019,0.066180825,0.45278138,0.3789562
-3491.755065_-51.4568705,0.012647814,0.011256681,3.00E-05,0.009700486,0.1663558,0.451009,0.34900028
-3491.755065_1048.5431295,0.003619493,0.006647451,8.57E-06,0.008133295,0.07575763,0.5870323,0.3188012
-3491.755065_1148.5431295,0.00444226,0.01021797,1.62E-05,0.005472156,0.21092089,0.41386443,0.35506612
-3491.755065_1248.5431295,0.012646621,0.00611311,5.38E-05,0.00887782,0.31269792,0.2954124,0.36419836
-3491.755065_1348.5431295,0.24971291,0.006724274,0.000262124,0.003116864,0.3783375,0.028739197,0.33310708
-3491.755065_148.5431295,0.005982039,0.028872102,6.89E-06,0.007903275,0.093762696,0.534044,0.32942897
-3491.755065_248.5431295,0.001626985,0.009383571,4.95E-06,0.004972634,0.1005437,0.5467032,0.33676496
-3491.755065_348.5431295,0.002787521,0.000581562,4.44E-05,0.001393555,0.08264357,0.5933306,0.31921884
-3491.755065_448.5431295,0.00459731,0.009209001,2.71E-05,0.004552391,0.05713321,0.52339745,0.40108356
-3491.755065_48.5431295,0.001090767,0.008199564,9.76E-06,0.005639274,0.16720608,0.41303006,0.40482447
-3491.755065_548.5431295,0.001271603,0.01699577,2.58E-05,0.008174375,0.1006132,0.44684854,0.4260707
-3491.755065_648.5431295,0.001720054,0.020444896,4.06E-05,0.005318621,0.14798899,0.41947633,0.40501046
-3491.755065_748.5431295,0.008643305,0.007710205,6.82E-05,0.002280089,0.07378829,0.56120604,0.34630388
-3491.755065_848.5431295,0.005971417,0.001944488,8.51E-05,0.001645815,0.0777381,0.5706738,0.34194127
-3491.755065_948.5431295,0.002746978,0.025111755,3.72E-05,0.009869701,0.07593448,0.4952611,0.39103884
-3591.755065_-151.4568705,0.001185731,0.013889039,1.08E-05,0.007313371,0.17094795,0.42529365,0.38135943
-3591.755065_-51.4568705,0.00475503,0.015109615,3.75E-05,0.010632864,0.111095324,0.43750736,0.42086232
-3591.755065_1048.5431295,0.0019142,0.012964247,2.85E-05,0.004033143,0.07224218,0.5788964,0.32992133
-3591.755065_1148.5431295,0.00080516,0.013813172,4.18E-05,0.009139126,0.16230297,0.4301583,0.3837395
-3591.755065_1248.5431295,0.00122617,0.003639596,1.45E-05,0.001826782,0.19561787,0.36680624,0.43086883
-3591.755065_1348.5431295,0.002255651,0.012833735,6.10E-05,0.002628097,0.20608231,0.3401736,0.43596557
-3591.755065_148.5431295,0.009072819,0.001880682,2.68E-05,0.001557096,0.078018405,0.610047,0.29939714
-3591.755065_248.5431295,0.000669793,0.001230666,1.87E-05,0.002028541,0.13910988,0.4947878,0.36215457
-3591.755065_348.5431295,0.004118984,0.006356324,1.23E-05,0.003438717,0.05463762,0.60200983,0.3294262
-3591.755065_448.5431295,0.001697347,0.001967317,1.38E-05,0.003058499,0.12341952,0.5278618,0.3419817
-3591.755065_48.5431295,0.001757939,0.012242012,1.86E-05,0.00496458,0.23063889,0.36096618,0.3894119
-3591.755065_548.5431295,0.003569649,0.01675723,2.25E-05,0.006351457,0.16240594,0.41811037,0.39278287
-3591.755065_648.5431295,0.005319944,0.00145284,6.28E-05,0.001591642,0.047603566,0.6375525,0.3064167
-3591.755065_748.5431295,0.01880917,0.02604501,5.93E-05,0.002855509,0.119575806,0.46830243,0.3643527
-3591.755065_848.5431295,0.000630959,0.002359622,2.57E-05,0.001946672,0.09803284,0.5743985,0.32260576
