,OD,Excitatory,Endothelial,Inhibitory,Astrocyte,Microglia
-2791.755065_448.5431295,0.148145491,0.178087232,0.120714375,0.183012253,0.178071029,0.191969621
-2791.755065_48.5431295,0.142386989,0.192643833,0.154210856,0.190993865,0.17008665,0.149677807
-2791.755065_548.5431295,0.142585526,0.174072675,0.156639692,0.178104222,0.180130203,0.168467681
-2791.755065_648.5431295,0.13576041,0.16500116,0.171585861,0.167656978,0.18143168,0.17856391
-2791.755065_748.5431295,0.143624402,0.171168728,0.126159873,0.173075587,0.181878373,0.204093038
-2791.755065_848.5431295,0.145086888,0.154394883,0.1994312,0.14140961,0.175096982,0.184580437
-2791.755065_948.5431295,0.151561236,0.163089744,0.187924162,0.163997852,0.183291746,0.15013526
-2891.755065_-151.4568705,0.141883069,0.210084545,0.140324213,0.165426005,0.191674501,0.150607667
-2891.755065_-51.4568705,0.137839615,0.178400422,0.151787779,0.174703024,0.167198386,0.190070774
-2891.755065_1048.5431295,0.147688256,0.188311938,0.131495835,0.158404392,0.158603298,0.215496281
-2891.755065_1148.5431295,0.13883364,0.168972469,0.176361384,0.120345944,0.21949042,0.175996142
-2891.755065_1248.5431295,0.166222502,0.188152192,0.133222269,0.158350929,0.162505055,0.191547053
-2891.755065_1348.5431295,0.185675679,0.172100316,0.130264942,0.199735296,0.15504573,0.157178037
-2891.755065_148.5431295,0.137600689,0.176050684,0.125854858,0.172806879,0.17882859,0.2088583
-2891.755065_248.5431295,0.140549963,0.182164898,0.168632586,0.175562381,0.14763903,0.185451142
-2891.755065_348.5431295,0.138727655,0.184846983,0.153626302,0.158344392,0.171841076,0.192613593
-2891.755065_448.5431295,0.142861504,0.199729028,0.14659813,0.162346327,0.171091356,0.177373656
-2891.755065_48.5431295,0.142468806,0.191921951,0.146187675,0.177350675,0.158988447,0.183082445
-2891.755065_548.5431295,0.149860798,0.179213421,0.183875468,0.154078647,0.211793064,0.121178602
-2891.755065_648.5431295,0.141242786,0.181456386,0.219302871,0.165575774,0.19133744,0.101084743
-2891.755065_748.5431295,0.142531969,0.183131351,0.166662115,0.17995235,0.171759197,0.155963018
-2891.755065_848.5431295,0.145598377,0.170121698,0.198368025,0.172725761,0.170258113,0.142928025
-2891.755065_948.5431295,0.149159933,0.166971879,0.183514826,0.160433962,0.197646736,0.142272665
-2991.755065_-151.4568705,0.223138163,0.152847649,0.126606024,0.102477974,0.145303061,0.249627129
-2991.755065_-51.4568705,0.140100974,0.148202284,0.142775614,0.17642839,0.151197925,0.241294814
-2991.755065_1048.5431295,0.282254311,0.231968431,0.000367168,0.084172318,0.390123748,0.011114025
-2991.755065_1148.5431295,0.095474078,0.123897943,0.006909664,0.010013928,0.522394934,0.241309453
-2991.755065_1248.5431295,0.159437693,0.258412249,0.198333391,0.213160073,0.168971914,0.00168468
-2991.755065_1348.5431295,0.163720349,0.19362274,0.218267168,0.142045087,0.115443905,0.16690075
-2991.755065_148.5431295,0.133576976,0.181320571,0.162024823,0.155219488,0.160552119,0.207306023
-2991.755065_248.5431295,0.129581632,0.173628786,0.129016661,0.165801458,0.168781354,0.233190109
-2991.755065_348.5431295,0.135947565,0.192495489,0.137501482,0.142265847,0.192230553,0.199559064
-2991.755065_448.5431295,0.142227531,0.191557826,0.200947356,0.175552526,0.156470019,0.133244742
-2991.755065_48.5431295,0.155335252,0.182953442,0.184967782,0.156542817,0.127409223,0.192791483
-2991.755065_548.5431295,0.130454589,0.165558233,0.173899891,0.168610115,0.117775742,0.243701429
-2991.755065_648.5431295,0.144150627,0.174574775,0.168813627,0.17172313,0.183629648,0.157108193
-2991.755065_748.5431295,0.140235705,0.153815735,0.1727252,0.156971066,0.161645198,0.214607096
-2991.755065_848.5431295,0.155234127,0.159657703,0.202820844,0.158989479,0.199897258,0.123400589
-2991.755065_948.5431295,0.152874702,0.173312852,0.046113953,0.160928698,0.23745562,0.229314175
-3091.755065_-151.4568705,0.14894618,0.181053041,0.164992758,0.171197187,0.141389232,0.192421603
-3091.755065_-51.4568705,0.142302777,0.166325236,0.16911951,0.184107007,0.155042777,0.183102692
-3091.755065_1048.5431295,0.135869418,0.142226032,0.101973752,0.14713123,0.167452133,0.305347435
-3091.755065_1148.5431295,0.162431081,0.059682159,0.330254507,0.193953107,0.195799157,0.057879988
-3091.755065_1248.5431295,0.163624897,0.09608533,0.172414618,0.102575168,0.226857487,0.2384425
-3091.755065_1348.5431295,0.134635727,0.173250752,0.196593634,0.129214848,0.162236573,0.204068466
-3091.755065_148.5431295,0.150240094,0.186850913,0.181323635,0.16669617,0.150618182,0.164271006
-3091.755065_248.5431295,0.152027303,0.179831888,0.175673594,0.165417173,0.1421457,0.184904342
-3091.755065_348.5431295,0.133674747,0.163330655,0.195579695,0.162719641,0.123144775,0.221550487
-3091.755065_448.5431295,0.133011461,0.178109498,0.144611556,0.17948564,0.16147554,0.203306305
-3091.755065_48.5431295,0.138893127,0.184876301,0.149988702,0.174897515,0.181237725,0.170106629
-3091.755065_548.5431295,0.137928913,0.198402616,0.149812501,0.179990443,0.164860751,0.169004777
-3091.755065_648.5431295,0.151994314,0.172633327,0.140211283,0.176904881,0.147378284,0.210877911
-3091.755065_748.5431295,0.154254907,0.1714081,0.108610619,0.17154668,0.160283673,0.233896022
-3091.755065_848.5431295,0.153813515,0.185427315,0.118251977,0.176021372,0.212869453,0.153616367
-3091.755065_948.5431295,0.139392288,0.146418962,0.173532418,0.166284723,0.16146752,0.21290409
-3191.755065_-151.4568705,0.157662124,0.18481476,0.137393191,0.172834194,0.162289773,0.185005958
-3191.755065_-51.4568705,0.145975613,0.176603217,0.181639168,0.167543752,0.176994129,0.151244121
-3191.755065_1048.5431295,0.152448611,0.177315898,0.209634763,0.173484808,0.131672198,0.15544372
-3191.755065_1148.5431295,0.151665024,0.165530601,0.094428148,0.161654901,0.1749954,0.251725927
-3191.755065_1248.5431295,0.171124421,0.164163806,0.130915377,0.159163951,0.231452007,0.143180438
-3191.755065_1348.5431295,0.145652691,0.210324285,0.15975227,0.174609345,0.149720747,0.159940662
-3191.755065_148.5431295,0.145840566,0.188276931,0.127733032,0.188801371,0.168129401,0.1812187
-3191.755065_248.5431295,0.136158024,0.177436889,0.123169928,0.178969124,0.172750151,0.211515884
-3191.755065_348.5431295,0.138138089,0.172121566,0.152898825,0.177365111,0.15611507,0.203361339
-3191.755065_448.5431295,0.139013258,0.173517408,0.150306051,0.181446607,0.17007635,0.185640325
-3191.755065_48.5431295,0.14126431,0.186242687,0.128402666,0.173853494,0.170087143,0.2001497
-3191.755065_548.5431295,0.155255346,0.199906113,0.15889041,0.187891349,0.161123094,0.136933688
-3191.755065_648.5431295,0.148775387,0.176413176,0.109268708,0.179335102,0.174651409,0.211556218
-3191.755065_748.5431295,0.150490251,0.165381115,0.156554476,0.166950293,0.141985414,0.21863845
-3191.755065_848.5431295,0.145638723,0.188800488,0.143152211,0.162242478,0.236483806,0.123682295
-3191.755065_948.5431295,0.170803136,0.189567476,0.166948998,0.176232285,0.155693586,0.140754518
-3291.755065_-151.4568705,0.145149326,0.173845843,0.156232833,0.152263303,0.203730016,0.16877868
-3291.755065_-51.4568705,0.118432492,0.181827597,0.153126431,0.167448744,0.188968124,0.190196613
-3291.755065_1048.5431295,0.131284449,0.189168332,0.167833716,0.168490907,0.151386381,0.191836215
-3291.755065_1148.5431295,0.144129552,0.161906653,0.140548239,0.164019087,0.182149642,0.207246826
-3291.755065_1248.5431295,0.160364955,0.165851587,0.155909144,0.169489539,0.156187168,0.192197607
-3291.755065_1348.5431295,0.181029368,0.183393085,0.127100335,0.151528737,0.183430807,0.173517668
-3291.755065_148.5431295,0.142940232,0.174379745,0.188559535,0.176345316,0.161046191,0.156728982
-3291.755065_248.5431295,0.144423677,0.17863076,0.129146636,0.18391984,0.199381303,0.164497783
-3291.755065_348.5431295,0.151936806,0.176057071,0.168852952,0.181324418,0.198174052,0.1236547
-3291.755065_448.5431295,0.154033977,0.176452061,0.163841149,0.194229048,0.199538837,0.111904928
-3291.755065_48.5431295,0.144183753,0.191053651,0.135643199,0.181097897,0.17333668,0.17468482
-3291.755065_548.5431295,0.142025218,0.16431065,0.159890889,0.174088442,0.212646999,0.147037804
-3291.755065_648.5431295,0.153900084,0.185892386,0.145941253,0.159514086,0.17876949,0.175982701
-3291.755065_748.5431295,0.153828396,0.174418888,0.166254823,0.171178042,0.181569843,0.152750008
-3291.755065_848.5431295,0.144804758,0.173045042,0.179642928,0.186038312,0.16655733,0.14991163
-3291.755065_948.5431295,0.154798473,0.189424852,0.150980021,0.189170848,0.184664681,0.130961126
-3391.755065_-151.4568705,0.149339569,0.175385551,0.209710014,0.154397584,0.180995492,0.13017179
-3391.755065_-51.4568705,0.149377966,0.183368352,0.149101414,0.179797917,0.20452585,0.133828501
-3391.755065_1048.5431295,0.142125217,0.157604433,0.113896083,0.177061839,0.210159782,0.199152646
-3391.755065_1148.5431295,0.173386477,0.161944714,0.187643142,0.159666453,0.17138164,0.145977574
-3391.755065_1248.5431295,0.205623681,0.200648447,0.129087703,0.137712669,0.145266008,0.181661493
-3391.755065_1348.5431295,0.179879697,0.154092125,0.16405784,0.139226961,0.128662052,0.234081324
-3391.755065_148.5431295,0.142693188,0.175335246,0.17296363,0.181105702,0.172035628,0.155866607
-3391.755065_248.5431295,0.134426796,0.171269659,0.184744436,0.159403454,0.196509069,0.153646587
-3391.755065_348.5431295,0.161225525,0.196565295,0.114081819,0.156444343,0.176968817,0.194714201
-3391.755065_448.5431295,0.141779736,0.192238097,0.108228725,0.174869109,0.172948274,0.209936059
-3391.755065_48.5431295,0.140851121,0.19328066,0.110465268,0.182008855,0.211459942,0.161934154
-3391.755065_548.5431295,0.136113437,0.177699391,0.143768442,0.16896946,0.197998067,0.175451202
-3391.755065_648.5431295,0.123365177,0.170914378,0.157710096,0.16996288,0.183176586,0.194870883
-3391.755065_748.5431295,0.145586688,0.1570895,0.151268865,0.186803056,0.178327396,0.180924494
-3391.755065_848.5431295,0.147901748,0.169457621,0.164897959,0.154744091,0.158905611,0.204092971
-3391.755065_948.5431295,0.137204482,0.171540653,0.173210434,0.181141701,0.214965571,0.121937159
-3491.755065_-151.4568705,0.139889364,0.180127171,0.178727453,0.164892294,0.177854123,0.158509596
-3491.755065_-51.4568705,0.154986594,0.164518823,0.161664196,0.139976851,0.172073102,0.206780434
-3491.755065_1048.5431295,0.139569117,0.171296441,0.141977086,0.159873235,0.210721815,0.176562306
-3491.755065_1148.5431295,0.182219315,0.186958533,0.127675639,0.190518212,0.199071647,0.113556654
-3491.755065_1248.5431295,0.194033427,0.165269704,0.068694013,0.164944091,0.180764723,0.226294042
-3491.755065_1348.5431295,0.33569962,0.147388315,0.014741108,0.181417097,0.039731652,0.281022209
-3491.755065_148.5431295,0.128910543,0.164076181,0.226222299,0.165506411,0.176389347,0.138895219
-3491.755065_248.5431295,0.144622516,0.183141406,0.1772771,0.13603881,0.192255331,0.166664836
-3491.755065_348.5431295,0.15768952,0.191472816,0.121226562,0.16494723,0.186832349,0.177831523
-3491.755065_448.5431295,0.137491811,0.183300119,0.147068203,0.162350633,0.198804507,0.170984727
-3491.755065_48.5431295,0.157451065,0.174842145,0.139639243,0.160269998,0.187943342,0.179854207
-3491.755065_548.5431295,0.139125148,0.162224841,0.179908007,0.171016511,0.153531881,0.194193613
-3491.755065_648.5431295,0.180046644,0.203545341,0.209595446,0.183049432,0.18825233,0.035510808
-3491.755065_748.5431295,0.149036132,0.16434732,0.163317859,0.184704358,0.175148356,0.163445975
-3491.755065_848.5431295,0.151510239,0.177748299,0.133643099,0.181129988,0.192506257,0.163462118
-3491.755065_948.5431295,0.132040984,0.158646629,0.176917428,0.169606157,0.156808545,0.205980257
-3591.755065_-151.4568705,0.156452166,0.169330585,0.182249221,0.150019808,0.152046949,0.189901271
-3591.755065_-51.4568705,0.139702436,0.177354829,0.185574462,0.141588549,0.165306486,0.190473238
-3591.755065_1048.5431295,0.13619923,0.183224871,0.174916225,0.198745991,0.199148487,0.107765196
-3591.755065_1148.5431295,0.185665125,0.168489654,0.222063135,0.207337947,0.13372149,0.082722649
-3591.755065_1248.5431295,0.184395988,0.17459221,0.138749667,0.162684918,0.169697109,0.169880108
-3591.755065_1348.5431295,0.208107699,0.176917138,0.159568216,0.177840966,0.124618691,0.152947291
-3591.755065_148.5431295,0.147229222,0.184694631,0.146597569,0.179982079,0.243313362,0.098183137
-3591.755065_248.5431295,0.147277479,0.172605624,0.102768765,0.155958876,0.182412966,0.238976291
-3591.755065_348.5431295,0.143240181,0.189043859,0.159604837,0.184447549,0.212137886,0.111525687
-3591.755065_448.5431295,0.160830276,0.180728859,0.09861538,0.155408316,0.218712132,0.185705037
-3591.755065_48.5431295,0.177754376,0.164819324,0.239527544,0.166174773,0.164737294,0.086986688
-3591.755065_548.5431295,0.159020701,0.173965873,0.191600934,0.155619971,0.166675374,0.153117147
-3591.755065_648.5431295,0.145813112,0.184792917,0.123894475,0.166678284,0.202217678,0.176603534
-3591.755065_748.5431295,0.155234695,0.186400263,0.173094992,0.173130931,0.196859387,0.115279733
-3591.755065_848.5431295,0.166819194,0.185444201,0.104740787,0.196599058,0.18709278,0.15930398
-3591.755065_948.5431295,0.13805626,0.17512616,0.137295685,0.202837448,0.183289677,0.163394769
-3691.755065_-151.4568705,0.155984992,0.201791267,0.173946621,0.142063841,0.146099875,0.180113403
-3691.755065_-51.4568705,0.153907968,0.173252805,0.165929131,0.161382118,0.136224516,0.209303461
-3691.755065_1048.5431295,0.155570063,0.190766196,0.138277533,0.204497207,0.197635911,0.11325309
-3691.755065_1148.5431295,0.151760932,0.167602216,0.173197824,0.188125091,0.142340265,0.176973672
-3691.755065_1248.5431295,0.143187622,0.165096004,0.200745897,0.181583446,0.179805486,0.129581544
-3691.755065_1348.5431295,0.149271601,0.171885146,0.178964173,0.191951477,0.186954793,0.120972811
-3691.755065_148.5431295,0.165990497,0.154472612,0.139970874,0.134840554,0.159565189,0.245160274
-3691.755065_248.5431295,0.149019789,0.168914672,0.176376308,0.176010012,0.177912608,0.15176661
-3691.755065_348.5431295,0.194861239,0.176871534,0.115904135,0.190291487,0.210672331,0.111399274
-3691.755065_448.5431295,0.142537914,0.180348417,0.100785112,0.182081969,0.197321892,0.196924696
-3691.755065_48.5431295,0.171453131,0.205204875,0.202830913,0.187694053,0.191861005,0.040956023
-3691.755065_548.5431295,0.134007143,0.173309008,0.166104184,0.139602886,0.222790782,0.164185997
-3691.755065_648.5431295,0.140575007,0.199534375,0.133347148,0.172556466,0.199957484,0.15402952
-3691.755065_748.5431295,0.163363186,0.163233087,0.181825286,0.182741336,0.170542137,0.138294968
-3691.755065_848.5431295,0.152744156,0.151783025,0.180565279,0.181885246,0.17682526,0.156197033
-3691.755065_948.5431295,0.134123698,0.163349392,0.150106608,0.180320736,0.176879819,0.195219748
-3791.755065_-151.4568705,0.171121647,0.172419024,0.181298835,0.150628332,0.135639749,0.188892413
-3791.755065_-51.4568705,0.171442214,0.213530725,0.23358657,0.164495454,0.142123905,0.074821132
-3791.755065_1048.5431295,0.132727971,0.154656226,0.123688313,0.177823041,0.203355219,0.20774923
-3791.755065_1148.5431295,0.146281983,0.163267458,0.14778542,0.193321893,0.182230533,0.167112714
-3791.755065_1248.5431295,0.152964225,0.165352092,0.189573728,0.174968966,0.165008239,0.15213275
-3791.755065_1348.5431295,0.131435451,0.174513017,0.126889976,0.177091057,0.190734639,0.199335859
-3791.755065_148.5431295,0.176589694,0.181504973,0.129551682,0.195026872,0.18004245,0.137284328
-3791.755065_248.5431295,0.167562064,0.157954408,0.218349768,0.169112446,0.138775322,0.148245991
-3791.755065_348.5431295,0.167615373,0.191213314,0.149410462,0.18671377,0.176875188,0.128171892
-3791.755065_448.5431295,0.153590071,0.153530029,0.193492655,0.175806995,0.131832937,0.191747314
-3791.755065_48.5431295,0.16253763,0.180002727,0.174585468,0.156573725,0.116849954,0.209450497
-3791.755065_548.5431295,0.131078008,0.146318796,0.149501603,0.155766457,0.168355029,0.248980107
-3791.755065_648.5431295,0.164310138,0.165322773,0.158406709,0.166831683,0.189979059,0.155149638
-3791.755065_748.5431295,0.143977417,0.193905986,0.173101467,0.167553234,0.170193514,0.151268381
-3791.755065_848.5431295,0.161033445,0.165408091,0.157188098,0.15619129,0.154615872,0.205563202
-3791.755065_948.5431295,0.126541319,0.162631486,0.184539589,0.175163602,0.185578118,0.165545886
1011.1452947_-149.83643,0.160191687,0.183703312,0.178512726,0.163131172,0.202624321,0.111836781
1011.1452947_-249.83643,0.133581648,0.111321097,0.200096197,0.154574682,0.156941234,0.243485143
1011.1452947_-349.83643,0.164030017,0.191732971,0.138725191,0.17151532,0.158270972,0.175725529
1011.1452947_-449.83643,0.132410447,0.200137502,0.188131411,0.164511188,0.177537044,0.137272408
1011.1452947_-49.83643,0.135474214,0.16591036,0.163746043,0.163053678,0.197956062,0.173859644
1011.1452947_-549.83643,0.145514523,0.172699629,0.232788051,0.144303871,0.161172342,0.143521584
1011.1452947_150.16357,0.159846162,0.172724906,0.188086885,0.158337411,0.159215924,0.161788713
1011.1452947_250.16357,0.142594842,0.160796343,0.147051113,0.162417042,0.185247373,0.201893288
1011.1452947_350.16357,0.140021524,0.14864053,0.13323251,0.183680903,0.162022214,0.232402319
1011.1452947_450.16357,0.145429461,0.155979091,0.182475851,0.18128861,0.186614548,0.148212438
1011.1452947_50.16357,0.16077836,0.166958767,0.161536823,0.180292434,0.187814143,0.142619474
1011.1452947_550.16357,0.146187291,0.175939721,0.160251545,0.193193708,0.173907154,0.15052058
1011.1452947_650.16357,0.155535437,0.174497579,0.13985409,0.184468065,0.19422502,0.151419809
1011.1452947_750.16357,0.152652256,0.173877426,0.141166892,0.18738113,0.16500812,0.179914177
1011.1452947_850.16357,0.154467791,0.148089005,0.122578652,0.189175744,0.202304323,0.183384484
1011.1452947_950.16357,0.148957184,0.163567703,0.131327277,0.172206384,0.162988595,0.220952856
1111.1452947_-149.83643,0.148026038,0.195125087,0.145877805,0.177035602,0.159396808,0.17453866
1111.1452947_-249.83643,0.136692079,0.164426609,0.201851238,0.150021351,0.18831292,0.158695803
1111.1452947_-349.83643,0.141134938,0.167382213,0.140038155,0.150468054,0.164934613,0.236042027
1111.1452947_-449.83643,0.151794317,0.182654329,0.169267326,0.159584826,0.165214075,0.171485127
1111.1452947_-49.83643,0.16279011,0.18620368,0.157444357,0.170171913,0.196974865,0.126415076
1111.1452947_-549.83643,0.187125842,0.183490883,0.183811619,0.151210486,0.155688288,0.138672882
1111.1452947_150.16357,0.15559239,0.177067803,0.22316857,0.154553577,0.211616963,0.078000697
1111.1452947_250.16357,0.160648436,0.186116669,0.133247563,0.186161761,0.173093523,0.160732047
1111.1452947_350.16357,0.158664629,0.171717518,0.179132116,0.199715544,0.156725002,0.134045192
1111.1452947_450.16357,0.144293837,0.164814312,0.171914171,0.201410749,0.153987499,0.163579432
1111.1452947_50.16357,0.142540779,0.185356029,0.153170372,0.163426618,0.21837265,0.137133552
1111.1452947_550.16357,0.14205878,0.17161775,0.156078432,0.191737497,0.1588537,0.179653841
1111.1452947_650.16357,0.150008981,0.169576199,0.187741736,0.198566688,0.193740238,0.100366158
1111.1452947_750.16357,0.145780909,0.173798113,0.133556075,0.16912446,0.207699199,0.170041244
1111.1452947_850.16357,0.19580951,0.190636936,0.200922509,0.202417306,0.146147682,0.064066056
1111.1452947_950.16357,0.243382611,0.185375613,0.125169591,0.12475693,0.079182316,0.24213294
1211.1452947_-149.83643,0.136730842,0.161983966,0.206730343,0.15318984,0.182016693,0.159348316
1211.1452947_-249.83643,0.134940752,0.205345249,0.129349613,0.158616257,0.179943378,0.191804751
1211.1452947_-349.83643,0.146417761,0.185524542,0.176462701,0.165606094,0.171080837,0.154908065
1211.1452947_-449.83643,0.14415769,0.188684551,0.164050869,0.154267682,0.193598333,0.155240875
1211.1452947_-49.83643,0.151428726,0.171093204,0.187130343,0.151392404,0.17651451,0.162440814
1211.1452947_-549.83643,0.116535041,0.158515724,0.19291058,0.170178173,0.14792203,0.213938451
1211.1452947_150.16357,0.153273402,0.165624663,0.14869861,0.1772559,0.158208352,0.196939074
1211.1452947_250.16357,0.155829682,0.175875469,0.16588498,0.192731212,0.18738417,0.122294487
1211.1452947_350.16357,0.145895397,0.185238156,0.150319789,0.192148696,0.153186614,0.173211347
1211.1452947_450.16357,0.154172173,0.180701847,0.127377825,0.189138411,0.187259017,0.161350727
1211.1452947_50.16357,0.167468289,0.151489035,0.180092205,0.159555352,0.191217453,0.150177667
1211.1452947_550.16357,0.134490309,0.175625186,0.163695049,0.172561432,0.157430317,0.196197708
1211.1452947_650.16357,0.142303699,0.187206744,0.176155453,0.193727935,0.185825633,0.114780537
1211.1452947_750.16357,0.173301228,0.179849819,0.146515491,0.194172997,0.19014817,0.116012295
1211.1452947_850.16357,0.190734043,0.145618268,0.172456951,0.167742712,0.154049754,0.169398272
1211.1452947_950.16357,0.309747104,0.233204546,0.086626063,0.119126124,0.024324694,0.226971469
1311.1452947_-149.83643,0.142220579,0.180837383,0.136270538,0.161277376,0.178102354,0.20129177
1311.1452947_-249.83643,0.131103348,0.179342427,0.188856588,0.163731755,0.17619966,0.160766222
1311.1452947_-349.83643,0.148447485,0.183497569,0.104138197,0.185489568,0.212868556,0.165558624
1311.1452947_-449.83643,0.135580754,0.182537165,0.152484389,0.16328842,0.178354962,0.18775431
1311.1452947_-49.83643,0.144654403,0.197539751,0.114234563,0.175559555,0.21045491,0.157556817
1311.1452947_-549.83643,0.149516973,0.183404678,0.179685642,0.168734632,0.174682103,0.143975973
1311.1452947_150.16357,0.145420802,0.177316434,0.122129654,0.188010836,0.187553504,0.17956877
1311.1452947_250.16357,0.157730529,0.163887318,0.138818484,0.188421575,0.195343111,0.155798982
1311.1452947_350.16357,0.162936688,0.166055026,0.166375211,0.17496516,0.178853508,0.150814406
1311.1452947_450.16357,0.136398963,0.164255481,0.154548126,0.18379314,0.17302577,0.187978521
1311.1452947_50.16357,0.139569429,0.171757718,0.087654878,0.164334677,0.207915715,0.228767583
1311.1452947_550.16357,0.142669558,0.168822924,0.130941708,0.18202669,0.206830115,0.168709005
1311.1452947_650.16357,0.125614663,0.178534165,0.153551268,0.160918442,0.157068234,0.224313227
1311.1452947_750.16357,0.145225158,0.177127439,0.159473338,0.171169779,0.181067523,0.165936763
1311.1452947_850.16357,0.183414116,0.145098572,0.23082573,0.18624777,0.166826902,0.08758691
1311.1452947_950.16357,0.155636314,0.189191124,0.190622318,0.139119966,0.113188428,0.21224185
1411.1452947_-149.83643,0.140252297,0.172175175,0.185367969,0.178083327,0.169083411,0.155037821
1411.1452947_-249.83643,0.129157782,0.168098497,0.150760624,0.151013297,0.19591393,0.20505587
1411.1452947_-349.83643,0.154386383,0.195521692,0.146515586,0.189493515,0.185336795,0.12874603
1411.1452947_-449.83643,0.139818153,0.179111679,0.169009259,0.184408789,0.180623372,0.147028747
1411.1452947_-49.83643,0.146692761,0.182887508,0.168287362,0.158440183,0.192148923,0.151543262
1411.1452947_-549.83643,0.139145662,0.178394509,0.126929946,0.180781678,0.169676459,0.205071745
1411.1452947_150.16357,0.135204696,0.179703997,0.190807646,0.164556008,0.195326955,0.134400698
1411.1452947_250.16357,0.147613592,0.177941158,0.112283383,0.204572782,0.183659327,0.173929757
1411.1452947_350.16357,0.15693659,0.147262294,0.19175954,0.159459402,0.127332089,0.217250086
1411.1452947_450.16357,0.149921297,0.170229118,0.161580538,0.1747931,0.161756912,0.181719034
1411.1452947_50.16357,0.122081279,0.173128511,0.120467279,0.178317646,0.191959773,0.214045513
1411.1452947_550.16357,0.136868088,0.183865624,0.141976389,0.17834275,0.172897708,0.186049441
1411.1452947_650.16357,0.128447201,0.155374158,0.166489945,0.149196257,0.152959156,0.247533283
1411.1452947_750.16357,0.132103554,0.144337548,0.158404003,0.172642655,0.17759223,0.21492001
1411.1452947_850.16357,0.157109525,0.181125796,0.113290304,0.19860463,0.186161546,0.163708201
1411.1452947_950.16357,0.166929527,0.170802469,0.151928525,0.16233308,0.135017842,0.212988558
1511.1452947_-149.83643,0.1837766,0.202277178,0.116269139,0.196011789,0.214377387,0.087287907
1511.1452947_-249.83643,0.131500311,0.192155846,0.140442973,0.168248768,0.160862601,0.206789501
1511.1452947_-349.83643,0.134059673,0.182476513,0.13097925,0.166622303,0.167477714,0.218384547
1511.1452947_-449.83643,0.145576397,0.190734097,0.098744299,0.179691955,0.203432669,0.181820584
1511.1452947_-49.83643,0.139640884,0.185972814,0.187820684,0.17709312,0.168312074,0.141160425
1511.1452947_-549.83643,0.130887137,0.191785331,0.175333329,0.172153364,0.195964386,0.133876454
1511.1452947_150.16357,0.134253553,0.145670313,0.142020757,0.182725617,0.247138109,0.14819165
1511.1452947_250.16357,0.153131571,0.167556325,0.171003484,0.178730147,0.188863084,0.140715389
1511.1452947_350.16357,0.129742896,0.147311604,0.144009255,0.173607488,0.185814602,0.219514154
1511.1452947_450.16357,0.141749292,0.169710953,0.12068357,0.162928674,0.174364996,0.230562516
1511.1452947_50.16357,0.141595624,0.180020786,0.188006711,0.177071168,0.18749069,0.125815021
1511.1452947_550.16357,0.142214722,0.161598835,0.17365721,0.175161292,0.153128338,0.194239602
1511.1452947_650.16357,0.148784008,0.169365642,0.173233562,0.183213476,0.179234929,0.146168383
1511.1452947_750.16357,0.14667267,0.147137732,0.179054302,0.16398776,0.193741949,0.169405587
1511.1452947_850.16357,0.125809476,0.163034113,0.189412067,0.172273224,0.139527109,0.20994401
1511.1452947_950.16357,0.170281711,0.196550751,0.145678895,0.170134607,0.148193066,0.16916097
1611.1452947_-149.83643,0.147996119,0.163263853,0.127409828,0.173249627,0.195568373,0.1925122
1611.1452947_-249.83643,0.14259929,0.19895528,0.144928992,0.180558462,0.156750517,0.176207459
1611.1452947_-349.83643,0.139357378,0.184090114,0.185182341,0.164924967,0.158630308,0.167814893
1611.1452947_-449.83643,0.142391056,0.169180329,0.173571988,0.157059223,0.155551875,0.202245529
1611.1452947_-49.83643,0.136538733,0.18124247,0.141154003,0.16780757,0.164231853,0.209025372
1611.1452947_-549.83643,0.465753622,0.265115369,0.004538474,0.044829752,0.038478547,0.181284235
1611.1452947_150.16357,0.134039162,0.163158391,0.187609205,0.154621755,0.152603115,0.207968372
1611.1452947_250.16357,0.155315209,0.172932585,0.138260358,0.181774505,0.20004183,0.151675514
1611.1452947_350.16357,0.173972615,0.187193772,0.173497327,0.199062078,0.149495002,0.116779206
1611.1452947_450.16357,0.150105065,0.144057033,0.198349522,0.118094424,0.183165982,0.206227973
1611.1452947_50.16357,0.148485005,0.171945231,0.207004969,0.17513118,0.152733286,0.144700329
1611.1452947_550.16357,0.168616776,0.182079032,0.168585243,0.154772282,0.19930066,0.126646007
1611.1452947_650.16357,0.154628754,0.137957543,0.149720838,0.129728878,0.251451294,0.176512692
1611.1452947_750.16357,0.124566999,0.064664541,0.16840964,0.124204402,0.195721742,0.322432676
1611.1452947_850.16357,0.182119459,0.195084322,0.092666372,0.150080348,0.15438425,0.22566525
1611.1452947_950.16357,0.160032301,0.162147777,0.187795655,0.151567207,0.174868789,0.163588272
1711.1452947_-149.83643,0.155224288,0.187137835,0.21056382,0.162821657,0.170663301,0.113589099
1711.1452947_-249.83643,0.150987131,0.176669038,0.149110024,0.191645182,0.163569545,0.168019078
1711.1452947_-349.83643,0.147725623,0.172993947,0.144491157,0.16717437,0.164359301,0.203255602
1711.1452947_-449.83643,0.143819472,0.180494233,0.152716242,0.161976229,0.160272238,0.200721587
1711.1452947_-49.83643,0.149238121,0.170806411,0.209363258,0.163102949,0.148812173,0.158677087
1711.1452947_-549.83643,0.151255143,0.153791557,0.078767887,0.17051381,0.251968253,0.19370335
