,cell_ID,OD,Microglia,Endothelial,Astrocyte,Inhibitory,Excitatory
-3191.755065_648.5431295,-3191.755065_648.5431295,0,0.256143793,0,0,0.743856207,0
-3191.755065_748.5431295,-3191.755065_748.5431295,0,0,0,0,1,0
-3191.755065_848.5431295,-3191.755065_848.5431295,0.08083141,0,0,0,0.91916859,0
-3191.755065_948.5431295,-3191.755065_948.5431295,0.467751015,0,0,0,0.532248985,0
-3291.755065_-151.4568705,-3291.755065_-151.4568705,0,0.321474414,0,0,0.678525586,0
-3291.755065_-51.4568705,-3291.755065_-51.4568705,0,0.412371565,0,0,0.587628435,0
-3291.755065_1048.5431295,-3291.755065_1048.5431295,0.238138911,0,0,0,0.761861089,0
-3291.755065_1148.5431295,-3291.755065_1148.5431295,0,0,0,0,1,0
-3291.755065_1248.5431295,-3291.755065_1248.5431295,0,2.32E-19,0.597107541,0,0.402892459,0
-3291.755065_1348.5431295,-3291.755065_1348.5431295,0,0,0.668092055,0,0.331907945,0
-3291.755065_148.5431295,-3291.755065_148.5431295,0,0.587457445,0,0,0.412542555,0
-3291.755065_248.5431295,-3291.755065_248.5431295,0,0.471069334,0,0,0.528930666,0
-3291.755065_348.5431295,-3291.755065_348.5431295,0,0.499529709,0,0,0.500470291,0
-3291.755065_448.5431295,-3291.755065_448.5431295,0,0.408077435,0,0,0.591922565,0
-3291.755065_48.5431295,-3291.755065_48.5431295,0,0.630704871,0,0,0.369295129,0
-3291.755065_548.5431295,-3291.755065_548.5431295,0,0.314669675,0,0,0.685330325,0
-3291.755065_648.5431295,-3291.755065_648.5431295,0,0,1,0,0,0
-3291.755065_748.5431295,-3291.755065_748.5431295,0,0.554781438,0,0,0.445218562,0
-3291.755065_848.5431295,-3291.755065_848.5431295,0,0.310254505,0,0,0.689745495,0
-3291.755065_948.5431295,-3291.755065_948.5431295,0.513263506,0,0,0,0.486736494,0
-3391.755065_-151.4568705,-3391.755065_-151.4568705,0,0.307992422,0,0,0.692007578,0
-3391.755065_-51.4568705,-3391.755065_-51.4568705,0,0.042627356,0,0,0.957372644,0
-3391.755065_1048.5431295,-3391.755065_1048.5431295,0,0.171732331,0,0,0.828267669,0
-3391.755065_1148.5431295,-3391.755065_1148.5431295,0,0,0,0,0,1
-3391.755065_1248.5431295,-3391.755065_1248.5431295,0,0,0,0.879810568,0.120189432,0
-3391.755065_1348.5431295,-3391.755065_1348.5431295,0,0,0,1,0,0
-3391.755065_148.5431295,-3391.755065_148.5431295,0,0.552248904,0,0,0.447751096,0
-3391.755065_248.5431295,-3391.755065_248.5431295,0,0.338648158,0,0,0.661351842,0
-3391.755065_348.5431295,-3391.755065_348.5431295,0,0.720745229,0,0,0.279254771,0
-3391.755065_448.5431295,-3391.755065_448.5431295,0,0.755952168,0,0,0.244047832,0
-3391.755065_48.5431295,-3391.755065_48.5431295,0,0.154255749,0,0,0.845744251,0
-3391.755065_548.5431295,-3391.755065_548.5431295,0,0.31654964,0,0,0.68345036,0
-3391.755065_648.5431295,-3391.755065_648.5431295,0,0.566972037,0,0,0.433027963,0
-3391.755065_748.5431295,-3391.755065_748.5431295,0,0.461343924,0,0,0.538656076,0
-3391.755065_848.5431295,-3391.755065_848.5431295,0,0.493847333,0,0,0,0.506152667
-3391.755065_948.5431295,-3391.755065_948.5431295,0,0.520582574,0,0,0.479417426,0
-3491.755065_-151.4568705,-3491.755065_-151.4568705,0,0.156961466,0,0,0.843038534,0
-3491.755065_-51.4568705,-3491.755065_-51.4568705,0,0,0,0.577332454,0.422667546,0
-3491.755065_1048.5431295,-3491.755065_1048.5431295,0,0,0,0,1,0
-3491.755065_1148.5431295,-3491.755065_1148.5431295,0,0,0.518117171,0,0.481882829,0
-3491.755065_1248.5431295,-3491.755065_1248.5431295,0,0,0,1,0,0
-3491.755065_1348.5431295,-3491.755065_1348.5431295,0,0,0,1,0,0
-3491.755065_148.5431295,-3491.755065_148.5431295,0,0.159795406,0,0,0.840204594,0
-3491.755065_248.5431295,-3491.755065_248.5431295,0,0.407114767,0,0,0.592885233,0
-3491.755065_348.5431295,-3491.755065_348.5431295,0,0.613758379,0,0,0.386241621,0
-3491.755065_448.5431295,-3491.755065_448.5431295,0,0.376397945,0,0,0.623602055,0
-3491.755065_48.5431295,-3491.755065_48.5431295,0,0,1,0,0,0
-3491.755065_548.5431295,-3491.755065_548.5431295,0,0.710803557,0,0,0.289196443,0
-3491.755065_648.5431295,-3491.755065_648.5431295,0,0,1,0,0,0
-3491.755065_748.5431295,-3491.755065_748.5431295,0,0.442252292,0,0,0.557747708,0
-3491.755065_848.5431295,-3491.755065_848.5431295,0,0.451393792,0,0,0.548606208,0
-3491.755065_948.5431295,-3491.755065_948.5431295,0,0,0,0,1,0
-3591.755065_-151.4568705,-3591.755065_-151.4568705,0,1.43E-17,0.720798045,0,0.279201955,0
-3591.755065_-51.4568705,-3591.755065_-51.4568705,0,0.08956028,0,0,0.91043972,0
-3591.755065_1048.5431295,-3591.755065_1048.5431295,0,0.572503849,0,0,0.427496151,0
-3591.755065_1148.5431295,-3591.755065_1148.5431295,0,0,1,0,7.52E-20,0
-3591.755065_1248.5431295,-3591.755065_1248.5431295,0.495696109,0,0,0,0.504303891,0
-3591.755065_1348.5431295,-3591.755065_1348.5431295,0,0,0,1,0,0
-3591.755065_148.5431295,-3591.755065_148.5431295,0,0,0,0,1,0
-3591.755065_248.5431295,-3591.755065_248.5431295,0.62035574,0,0,0,0.37964426,0
-3591.755065_348.5431295,-3591.755065_348.5431295,0,0.2688404,0,0,0.7311596,0
-3591.755065_448.5431295,-3591.755065_448.5431295,0.408031087,0,0,0,0.591968913,0
-3591.755065_48.5431295,-3591.755065_48.5431295,0,0,0.620475872,0.379524128,0,0
-3591.755065_548.5431295,-3591.755065_548.5431295,0,0.570187169,0,0,0.429812831,0
-3591.755065_648.5431295,-3591.755065_648.5431295,0,0.624034338,0,0,0.375965662,0
-3591.755065_748.5431295,-3591.755065_748.5431295,0,0.356615149,0,0,0.643384851,0
-3591.755065_848.5431295,-3591.755065_848.5431295,0.593259442,0,0,0,0.406740558,0
-3591.755065_948.5431295,-3591.755065_948.5431295,0,0.577101421,0,0,0.422898579,0
-3691.755065_-151.4568705,-3691.755065_-151.4568705,0,0.115900244,0,0,0.884099756,0
-3691.755065_-51.4568705,-3691.755065_-51.4568705,0,0,1,0,0,0
-3691.755065_1048.5431295,-3691.755065_1048.5431295,0,0.516723012,0,0,0.483276988,0
-3691.755065_1148.5431295,-3691.755065_1148.5431295,0,0.915194248,0,0,0.084805752,0
-3691.755065_1248.5431295,-3691.755065_1248.5431295,0,0.492110888,0,0,0.507889112,0
-3691.755065_1348.5431295,-3691.755065_1348.5431295,0,0.404160416,0,0,0.595839584,0
-3691.755065_148.5431295,-3691.755065_148.5431295,0,0,0,0.747724745,0.252275255,0
-3691.755065_248.5431295,-3691.755065_248.5431295,0,0,0.70679518,0,0.29320482,0
-3691.755065_348.5431295,-3691.755065_348.5431295,0,0.260791801,0,0,0.739208199,0
-3691.755065_448.5431295,-3691.755065_448.5431295,0,0.363085349,0,0,0.636914651,0
-3691.755065_48.5431295,-3691.755065_48.5431295,0,0.214101608,0,0,0.785898392,0
-3691.755065_548.5431295,-3691.755065_548.5431295,0,0,1,0,0,0
-3691.755065_648.5431295,-3691.755065_648.5431295,0,0.551902692,0,0,0.448097308,0
-3691.755065_748.5431295,-3691.755065_748.5431295,0,0,0.983849784,0,0.016150216,0
-3691.755065_848.5431295,-3691.755065_848.5431295,0,0.171237435,0,0,0.828762565,0
-3691.755065_948.5431295,-3691.755065_948.5431295,0,0.436978826,0,0,0.563021174,0
-3791.755065_-151.4568705,-3791.755065_-151.4568705,0,0,0,0.989962925,0.010037075,0
-3791.755065_-51.4568705,-3791.755065_-51.4568705,0.462535619,0,0,0,0.537464381,0
-3791.755065_1048.5431295,-3791.755065_1048.5431295,0,0.302805937,0,0,0.697194063,0
-3791.755065_1148.5431295,-3791.755065_1148.5431295,0,0.322067554,0,0,0.677932446,0
-3791.755065_1248.5431295,-3791.755065_1248.5431295,0,0.295474128,0,0,0.704525872,0
-3791.755065_1348.5431295,-3791.755065_1348.5431295,0,0.744699685,0,0,0.255300315,0
-3791.755065_148.5431295,-3791.755065_148.5431295,0,0,1,0,0,0
-3791.755065_248.5431295,-3791.755065_248.5431295,0,0,2.60E-05,0.812561061,0.187412942,0
-3791.755065_348.5431295,-3791.755065_348.5431295,0,0,1,0,0,0
-3791.755065_448.5431295,-3791.755065_448.5431295,0,0,1,0,0,0
-3791.755065_48.5431295,-3791.755065_48.5431295,0,0,1,0,0,0
-3791.755065_548.5431295,-3791.755065_548.5431295,0,0,0,0,0.52272133,0.47727867
-3791.755065_648.5431295,-3791.755065_648.5431295,0.617309014,0,0,0,0.382690986,0
-3791.755065_748.5431295,-3791.755065_748.5431295,0,0.498209325,0,0,0.501790675,0
-3791.755065_848.5431295,-3791.755065_848.5431295,0,0,0,0.617907315,0.382092685,0
-3791.755065_948.5431295,-3791.755065_948.5431295,0,0.443213866,0,0,0.556786134,0
1011.1452947_-149.83643,1011.1452947_-149.83643,0,0,1,0,0,0
1011.1452947_-249.83643,1011.1452947_-249.83643,0,0,0,0.612882224,0.387117776,0
1011.1452947_-349.83643,1011.1452947_-349.83643,0.04887147,0,0,0,0.95112853,0
1011.1452947_-449.83643,1011.1452947_-449.83643,0,0.565563907,0,0,0.434436093,0
1011.1452947_-49.83643,1011.1452947_-49.83643,0,0.207157964,0,0,0.792842036,0
1011.1452947_-549.83643,1011.1452947_-549.83643,0,0,0,0.435935314,0.564064686,0
1011.1452947_150.16357,1011.1452947_150.16357,0,0,0,0,1,0
1011.1452947_250.16357,1011.1452947_250.16357,0,0.172861735,0,0,0.827138265,0
1011.1452947_350.16357,1011.1452947_350.16357,0,0,0.923023667,0,0.076976333,0
1011.1452947_450.16357,1011.1452947_450.16357,0,0.434585036,0,0,0.565414964,0
1011.1452947_50.16357,1011.1452947_50.16357,0,0,1,0,0,0
1011.1452947_550.16357,1011.1452947_550.16357,0.792846677,0,0,0,0.207153323,0
1011.1452947_650.16357,1011.1452947_650.16357,0,0.35716038,0,0,0.64283962,0
1011.1452947_750.16357,1011.1452947_750.16357,0,0.863583559,0,0,0.136416441,0
1011.1452947_850.16357,1011.1452947_850.16357,0,0,0.697279178,0,0.302720822,0
1011.1452947_950.16357,1011.1452947_950.16357,0.339783609,0,0,0,0.660216391,0
1111.1452947_-149.83643,1111.1452947_-149.83643,0,0.40207382,0,0,0.59792618,0
1111.1452947_-249.83643,1111.1452947_-249.83643,0,0.116930521,0,0,0.883069479,0
1111.1452947_-349.83643,1111.1452947_-349.83643,0,0.082834118,0,0,0.917165882,0
1111.1452947_-449.83643,1111.1452947_-449.83643,0,0.112125487,0.887874513,0,0,0
1111.1452947_-49.83643,1111.1452947_-49.83643,0,0.036108476,0,0,0.963891524,0
1111.1452947_-549.83643,1111.1452947_-549.83643,0,0,0.615345837,0,0.384654163,0
1111.1452947_150.16357,1111.1452947_150.16357,0,0,0,0,1,0
1111.1452947_250.16357,1111.1452947_250.16357,0,0,1,0,0,0
1111.1452947_350.16357,1111.1452947_350.16357,0,0.806874256,0,0,0.193125744,0
1111.1452947_450.16357,1111.1452947_450.16357,1,0,0,0,0,0
1111.1452947_50.16357,1111.1452947_50.16357,0,0.43084664,0,0,0.56915336,0
1111.1452947_550.16357,1111.1452947_550.16357,0,0.882206663,0,0,0.117793337,0
1111.1452947_650.16357,1111.1452947_650.16357,0,0.422507191,0,0,0.577492809,0
1111.1452947_750.16357,1111.1452947_750.16357,0,0.059331005,0,0,0.940668995,0
1111.1452947_850.16357,1111.1452947_850.16357,0,0,0,0.816870962,0.183129038,0
1111.1452947_950.16357,1111.1452947_950.16357,0,0,0,1,0,0
1211.1452947_-149.83643,1211.1452947_-149.83643,0,0,0,0,1,0
1211.1452947_-249.83643,1211.1452947_-249.83643,0,0.409978164,0,0,0.590021836,0
1211.1452947_-349.83643,1211.1452947_-349.83643,0,0.341117351,0,0,0.658882649,0
1211.1452947_-449.83643,1211.1452947_-449.83643,0,0,0,0,1,0
1211.1452947_-49.83643,1211.1452947_-49.83643,0,0,0,0,1,0
1211.1452947_-549.83643,1211.1452947_-549.83643,0,0.306383385,0,0,0.693616615,0
1211.1452947_150.16357,1211.1452947_150.16357,0,0.212885675,0,0,0,0.787114325
1211.1452947_250.16357,1211.1452947_250.16357,0,0,0.760874976,0,0.239125024,0
1211.1452947_350.16357,1211.1452947_350.16357,0,0.91858751,0,0,0.08141249,0
1211.1452947_450.16357,1211.1452947_450.16357,0,0.874404373,0,0,0.125595627,0
1211.1452947_50.16357,1211.1452947_50.16357,0,0,0,0,0.505424691,0.494575309
1211.1452947_550.16357,1211.1452947_550.16357,0,0.354980376,0,0,0.645019624,0
1211.1452947_650.16357,1211.1452947_650.16357,0,0.742296132,0,0,0.257703868,0
1211.1452947_750.16357,1211.1452947_750.16357,0,0.077863502,0,0,0.922136498,0
1211.1452947_850.16357,1211.1452947_850.16357,0,0,1.57E-05,0.999984281,-9.19E-20,0
1211.1452947_950.16357,1211.1452947_950.16357,0,0,0,1,0,0
1311.1452947_-149.83643,1311.1452947_-149.83643,0,0.742173196,0,0,0.257826804,0
1311.1452947_-249.83643,1311.1452947_-249.83643,0.255651479,0,0,0,0.744348521,0
1311.1452947_-349.83643,1311.1452947_-349.83643,0,0.46584609,0,0,0.53415391,0
1311.1452947_-449.83643,1311.1452947_-449.83643,0,0.404397934,0,0,0.595602066,0
1311.1452947_-49.83643,1311.1452947_-49.83643,0,0.653260318,0,0,0.346739682,0
1311.1452947_-549.83643,1311.1452947_-549.83643,0,0,0,0,1,0
1311.1452947_150.16357,1311.1452947_150.16357,0,0.567684154,0,0,0.432315846,0
1311.1452947_250.16357,1311.1452947_250.16357,0,0.363278181,0,0,0.636721819,0
1311.1452947_350.16357,1311.1452947_350.16357,0,0.602577131,0,0,0.397422869,0
1311.1452947_450.16357,1311.1452947_450.16357,0,0.48447144,0,0,0.51552856,0
1311.1452947_50.16357,1311.1452947_50.16357,0,0.333731846,0,0,0.666268154,0
1311.1452947_550.16357,1311.1452947_550.16357,0,0.322806681,0,0,0.677193319,0
1311.1452947_650.16357,1311.1452947_650.16357,0,0.224037744,0,0,0.775962256,0
1311.1452947_750.16357,1311.1452947_750.16357,0,0.243872358,0,0,0.756127642,0
1311.1452947_850.16357,1311.1452947_850.16357,0,0,0,0.828673343,0.171326657,0
1311.1452947_950.16357,1311.1452947_950.16357,0,0,2.08E-05,0.999979206,0,0
1411.1452947_-149.83643,1411.1452947_-149.83643,0,0.41387657,0,0,0.58612343,0
1411.1452947_-249.83643,1411.1452947_-249.83643,0,0.214920388,0,0,0.785079612,0
1411.1452947_-349.83643,1411.1452947_-349.83643,0,0.43891468,0,0,0.56108532,0
1411.1452947_-449.83643,1411.1452947_-449.83643,0,0.784925348,0,0,0.215074652,0
1411.1452947_-49.83643,1411.1452947_-49.83643,0,0.260992867,0,0,0.739007133,0
1411.1452947_-549.83643,1411.1452947_-549.83643,0,0.455172441,0,0,0.544827559,0
1411.1452947_150.16357,1411.1452947_150.16357,0,0.376470828,0,0,0.623529172,0
1411.1452947_250.16357,1411.1452947_250.16357,0,0.664401954,0,0,0.335598046,0
1411.1452947_350.16357,1411.1452947_350.16357,0,0,0,0,1,0
1411.1452947_450.16357,1411.1452947_450.16357,0,0,0,0,1,0
1411.1452947_50.16357,1411.1452947_50.16357,0,0.465422811,0,0,0.534577189,0
1411.1452947_550.16357,1411.1452947_550.16357,0,0.371049452,0,0,0.628950548,0
1411.1452947_650.16357,1411.1452947_650.16357,0,0.382734745,0,0,0.617265255,0
1411.1452947_750.16357,1411.1452947_750.16357,0.189688354,0,0,0,0.810311646,0
1411.1452947_850.16357,1411.1452947_850.16357,0,0,0.403208978,0,0.596791022,0
1411.1452947_950.16357,1411.1452947_950.16357,0,0,0,0,1,0
1511.1452947_-149.83643,1511.1452947_-149.83643,0,0.298246713,0,0,0.701753287,0
1511.1452947_-249.83643,1511.1452947_-249.83643,0,0.667010729,0,0,0.332989271,0
1511.1452947_-349.83643,1511.1452947_-349.83643,0,0.594810268,0,0,0.405189732,0
1511.1452947_-449.83643,1511.1452947_-449.83643,0,0.285311002,0,0,0.714688998,0
1511.1452947_-49.83643,1511.1452947_-49.83643,0,0.650857842,0,0,0.349142158,0
1511.1452947_-549.83643,1511.1452947_-549.83643,0,0.243725671,0,0,0.756274329,0
1511.1452947_150.16357,1511.1452947_150.16357,0,0,0,0,1,0
1511.1452947_250.16357,1511.1452947_250.16357,0,0,1,0,0,0
1511.1452947_350.16357,1511.1452947_350.16357,0,0,0,0,1,0
1511.1452947_450.16357,1511.1452947_450.16357,0.424601867,0,0,0,0.575398133,0
1511.1452947_50.16357,1511.1452947_50.16357,0,0.437695671,0,0,0.562304329,0
1511.1452947_550.16357,1511.1452947_550.16357,0,0.310217023,0,0,0.689782977,0
1511.1452947_650.16357,1511.1452947_650.16357,0,0,0,0,1,0
1511.1452947_750.16357,1511.1452947_750.16357,0,0,0,0,1,0
1511.1452947_850.16357,1511.1452947_850.16357,0,0.250481444,0,0,0.749518556,0
1511.1452947_950.16357,1511.1452947_950.16357,0,0.756470195,0,0,0.243529805,0
1611.1452947_-149.83643,1611.1452947_-149.83643,0,0,0,0,1,0
1611.1452947_-249.83643,1611.1452947_-249.83643,0,0.57750973,0,0,0.42249027,0
1611.1452947_-349.83643,1611.1452947_-349.83643,0,0.263835757,0,0,0.736164243,0
1611.1452947_-449.83643,1611.1452947_-449.83643,0,0.326673654,0,0,0.673326346,0
1611.1452947_-49.83643,1611.1452947_-49.83643,0,0.346280166,0,0,0.653719834,0
1611.1452947_-549.83643,1611.1452947_-549.83643,0,0,0,1,0,0
1611.1452947_150.16357,1611.1452947_150.16357,0,0.218569156,0,0,0.781430844,0
1611.1452947_250.16357,1611.1452947_250.16357,0,0.063556787,0,0,0.936443213,0
1611.1452947_350.16357,1611.1452947_350.16357,0,0.101695296,0,0,0.898304704,0
1611.1452947_450.16357,1611.1452947_450.16357,0,0.046864525,0,0,0.953135475,0
1611.1452947_50.16357,1611.1452947_50.16357,0,0.362690385,0,0,0.637309615,0
1611.1452947_550.16357,1611.1452947_550.16357,0,0.086821391,0,0,0.913178609,0
1611.1452947_650.16357,1611.1452947_650.16357,0,0,0,0,1,0
1611.1452947_750.16357,1611.1452947_750.16357,0,0,0,0,1,0
1611.1452947_850.16357,1611.1452947_850.16357,0,0,0,0,1,0
1611.1452947_950.16357,1611.1452947_950.16357,0,0.489973242,0,0,0.510026758,0
1711.1452947_-149.83643,1711.1452947_-149.83643,0,0.2720482,0,0,0.7279518,0
1711.1452947_-249.83643,1711.1452947_-249.83643,0,0.347689962,0,0,0.652310038,0
1711.1452947_-349.83643,1711.1452947_-349.83643,0,0.022862122,0,0,0.977137878,0
1711.1452947_-449.83643,1711.1452947_-449.83643,0,0.243294473,0,0,0.756705527,0
1711.1452947_-49.83643,1711.1452947_-49.83643,0,0,0,0,1,0
1711.1452947_-549.83643,1711.1452947_-549.83643,0,0,0,0,1,0
1711.1452947_150.16357,1711.1452947_150.16357,0,0,0,0,1,0
1711.1452947_250.16357,1711.1452947_250.16357,0,0,0,0,1,0
1711.1452947_350.16357,1711.1452947_350.16357,0,0.196502096,0,0,0.803497904,0
1711.1452947_450.16357,1711.1452947_450.16357,0,0.058837483,0,0,0.941162517,0
1711.1452947_50.16357,1711.1452947_50.16357,0,0.222665421,0,0,0.777334579,0
1711.1452947_550.16357,1711.1452947_550.16357,0,0.247415055,0,0,0.752584945,0
1711.1452947_650.16357,1711.1452947_650.16357,0,0,0,0,1,0
1711.1452947_750.16357,1711.1452947_750.16357,0,0,0,0,1,0
1711.1452947_850.16357,1711.1452947_850.16357,0.217279533,0,0,0,0.782720467,0
1711.1452947_950.16357,1711.1452947_950.16357,0,0,0,0,1,0
1811.1452947_-149.83643,1811.1452947_-149.83643,0,0.591721059,0,0,0.408278941,0
1811.1452947_-249.83643,1811.1452947_-249.83643,0,0.595803092,0,0,0.404196908,0
1811.1452947_-349.83643,1811.1452947_-349.83643,0,0.760137113,0,0,0.239862887,0
1811.1452947_-449.83643,1811.1452947_-449.83643,0,0.27863821,0,0,0.72136179,0
1811.1452947_-49.83643,1811.1452947_-49.83643,0,0.492975455,0,0,0.507024545,0
1811.1452947_-549.83643,1811.1452947_-549.83643,0,0,0,0,1,0
1811.1452947_150.16357,1811.1452947_150.16357,0,0,0,0,1,0
1811.1452947_250.16357,1811.1452947_250.16357,0,0,0,0,1,0
1811.1452947_350.16357,1811.1452947_350.16357,0,0,0,0,1,0
1811.1452947_450.16357,1811.1452947_450.16357,0,0.365882063,0,0,0.634117937,0
1811.1452947_50.16357,1811.1452947_50.16357,0,0.171931538,0,0,0.828068462,0
1811.1452947_550.16357,1811.1452947_550.16357,0,0.6251741,0,0,0.3748259,0
1811.1452947_650.16357,1811.1452947_650.16357,0,0,0,0,1,0
1811.1452947_750.16357,1811.1452947_750.16357,0,0.289052866,0,0,0.710947134,0
1811.1452947_850.16357,1811.1452947_850.16357,0,0.061952264,0,0,0.938047736,0
1811.1452947_950.16357,1811.1452947_950.16357,0,0.699681337,0,0,0.300318663,0
1911.1452947_-149.83643,1911.1452947_-149.83643,0,0.470757154,0,0,0.529242846,0
1911.1452947_-249.83643,1911.1452947_-249.83643,0,0.631275233,0,0,0,0.368724767
1911.1452947_-349.83643,1911.1452947_-349.83643,0,0.853196837,0,0,0.146803163,0
1911.1452947_-449.83643,1911.1452947_-449.83643,0,0.540878331,0,0,0.459121669,0
1911.1452947_-49.83643,1911.1452947_-49.83643,0,0.397049531,0,0,0.602950469,0
1911.1452947_-549.83643,1911.1452947_-549.83643,0.026682839,0,0,0,0.973317161,0
1911.1452947_150.16357,1911.1452947_150.16357,0,0.636197642,0,0,0.363802358,0
1911.1452947_250.16357,1911.1452947_250.16357,0,0,1,0,0,0
1911.1452947_350.16357,1911.1452947_350.16357,0,0.318454027,0,0,0.681545973,0
1911.1452947_450.16357,1911.1452947_450.16357,0,0.468286904,0,0,0.531713096,0
1911.1452947_50.16357,1911.1452947_50.16357,0,0.355449982,0,0,0.644550018,0
1911.1452947_550.16357,1911.1452947_550.16357,0,0.175934674,0,0,0.824065326,0
1911.1452947_650.16357,1911.1452947_650.16357,0,0,0,0,1,0
1911.1452947_750.16357,1911.1452947_750.16357,0,0.151467707,0,0,0.848532293,0
1911.1452947_850.16357,1911.1452947_850.16357,0,0,0,0.59005529,0.40994471,0
1911.1452947_950.16357,1911.1452947_950.16357,0,0,0,0,1,0
2011.1452947_-149.83643,2011.1452947_-149.83643,0,0.443219165,0,0,0.556780835,0
2011.1452947_-249.83643,2011.1452947_-249.83643,0,0.864800575,0,0,0.135199425,0
2011.1452947_-349.83643,2011.1452947_-349.83643,0,0,1,0,0,0
2011.1452947_-449.83643,2011.1452947_-449.83643,0,0.383414151,0,0,0.616585849,0
2011.1452947_-49.83643,2011.1452947_-49.83643,0,0,1,0,0,0
2011.1452947_-549.83643,2011.1452947_-549.83643,0.489425576,0,0,0,0.510574424,0
2011.1452947_150.16357,2011.1452947_150.16357,0,0,1,0,0,0
2011.1452947_250.16357,2011.1452947_250.16357,0,0.91586539,0,0,0.08413461,0
2011.1452947_350.16357,2011.1452947_350.16357,0,0.565235323,0,0,0.434764677,0
2011.1452947_450.16357,2011.1452947_450.16357,0,0.43412554,0,0,0.56587446,0
2011.1452947_50.16357,2011.1452947_50.16357,0.389982909,0,0,0,0.610017091,0
2011.1452947_550.16357,2011.1452947_550.16357,0,0.169742543,0,0,0.830257457,0
2011.1452947_650.16357,2011.1452947_650.16357,0,0.497729057,0,0,0.502270943,0
2011.1452947_750.16357,2011.1452947_750.16357,0,0,0,0.47889629,0.52110371,0
2011.1452947_850.16357,2011.1452947_850.16357,0,0.120750186,0,0,0,0.879249814
2011.1452947_950.16357,2011.1452947_950.16357,0,0.399331902,0,0,0.600668098,0
2111.1452947_-149.83643,2111.1452947_-149.83643,0,0.20353485,0,0,0.79646515,0
2111.1452947_-249.83643,2111.1452947_-249.83643,0,0.379754869,0,0,0.620245131,0
2111.1452947_-349.83643,2111.1452947_-349.83643,0,0.477589089,0,0,0.522410911,0
2111.1452947_-449.83643,2111.1452947_-449.83643,0,0.274986843,0,0,0.725013157,0
2111.1452947_-49.83643,2111.1452947_-49.83643,0,0.688853903,0,0,0.311146097,0
2111.1452947_-549.83643,2111.1452947_-549.83643,0,0.145486702,0,0,0.854513298,0
2111.1452947_150.16357,2111.1452947_150.16357,0,0.464685036,0,0,0.535314964,0
2111.1452947_250.16357,2111.1452947_250.16357,0,0.522744521,0,0,0.477255479,0
2111.1452947_350.16357,2111.1452947_350.16357,0,0.584640778,0,0,0.415359222,0
2111.1452947_450.16357,2111.1452947_450.16357,0,1,0,0,0,0
2111.1452947_50.16357,2111.1452947_50.16357,0,0.437436641,0,0,0.562563359,0
2111.1452947_550.16357,2111.1452947_550.16357,0.477325037,0,0,0,0.522674963,0
2111.1452947_650.16357,2111.1452947_650.16357,0,0.540830309,0,0,0.459169691,0
2111.1452947_750.16357,2111.1452947_750.16357,0,0.250026989,0,0,0.749973011,0
2111.1452947_850.16357,2111.1452947_850.16357,0,0,0,1,0,0
2111.1452947_950.16357,2111.1452947_950.16357,0,0,0,1,0,0
2211.1452947_-149.83643,2211.1452947_-149.83643,0,0,0,0,1,0
2211.1452947_-249.83643,2211.1452947_-249.83643,0.408700692,0,0,0,0.591299308,0
2211.1452947_-349.83643,2211.1452947_-349.83643,0.144882741,0,0,0,0.855117259,0
2211.1452947_-449.83643,2211.1452947_-449.83643,0,0.379640134,0,0,0.620359866,0
2211.1452947_-49.83643,2211.1452947_-49.83643,0.325339952,0,0,0,0.674660048,0
2211.1452947_-549.83643,2211.1452947_-549.83643,0,0,0.260649426,0,0.739350574,0
2211.1452947_150.16357,2211.1452947_150.16357,0,0.475627146,0,0,0.524372854,0
2211.1452947_250.16357,2211.1452947_250.16357,0,0.615170615,0,0,0.384829385,0
2211.1452947_350.16357,2211.1452947_350.16357,0,1,0,0,0,0
2211.1452947_450.16357,2211.1452947_450.16357,0,0.601686693,0,0,0.398313307,0
2211.1452947_50.16357,2211.1452947_50.16357,0,1,0,0,0,0
2211.1452947_550.16357,2211.1452947_550.16357,0,0.944000763,0,0,0.055999237,0
2211.1452947_650.16357,2211.1452947_650.16357,0,0.630429621,0,0,0.369570379,0
2211.1452947_750.16357,2211.1452947_750.16357,0,0.324260798,0,0,0.675739202,0
2211.1452947_850.16357,2211.1452947_850.16357,0,0,0,1,0,0
2211.1452947_950.16357,2211.1452947_950.16357,0,0,0,1,0,0
2311.1452947_-149.83643,2311.1452947_-149.83643,0,0,0,0,1,0
2311.1452947_-249.83643,2311.1452947_-249.83643,0,0,0,1,0,0
2311.1452947_-349.83643,2311.1452947_-349.83643,0,0.204398723,0,0,0.795601277,0
2311.1452947_-449.83643,2311.1452947_-449.83643,0.230215695,0,0,0,0.769784305,0
2311.1452947_-49.83643,2311.1452947_-49.83643,0,1,0,0,0,0
2311.1452947_-549.83643,2311.1452947_-549.83643,0,0,0,0,1,0
2311.1452947_150.16357,2311.1452947_150.16357,0,0.180310953,0,0,0.819689047,0
2311.1452947_250.16357,2311.1452947_250.16357,0,0.73571176,0,0,0.26428824,0
2311.1452947_350.16357,2311.1452947_350.16357,0,0.392202398,0,0,0.607797602,0
2311.1452947_450.16357,2311.1452947_450.16357,0.50966203,0,0,0,0.49033797,0
2311.1452947_50.16357,2311.1452947_50.16357,0,0.558561202,0,0,0.441438798,0
2311.1452947_550.16357,2311.1452947_550.16357,0,0,1,0,0,0
